Value,Key
元件无法在元件集合中找到,Element not found in element collection or last element
"曲线元素, NURBS, 贝塞尔或多边形, 或文本物体式字符","Element of a curve, either NURBS, Bezier or Polyline or a character with text objects"
"曲线元素, NURBS, 贝塞尔或多边形, 或文本物体式字符","Element of a curve, either NURBS, Bézier or Polyline or a character with text objects"
查看器路径的元素,Element of a viewer path
电子表格上下文路径的元素,Element of spreadsheet context path
节点空间的树状路径元素,Element of the node space tree path
用于计算距离的目标几何元素,Element of the target geometry to calculate the distance from
要变换的元素类型,Element type to transform
逐个元素,Element-Wise
元素项,ElementItem
元素,Elements
文件夹中的元素,Elements in Folder
海拔高度. 对象,Elev. object
仰角,Elevation
仰角敏感度,Elevation Sensitivity
太阳仰角,Elevation angle of sun
高度距离,Elevation distance
高度下降,Elevation falloff
高度字段不包含数值,Elevation field do not contains numeric values
从对象高度,Elevation from object
行星的海拔图,Elevation map on the planet
高度源,Elevation source
按此距离将毛发提升到表面以上,Elevation strands above surface by this distance
提升强度超过毛发长度,Elevation strength over strand length
海拔 Elevation: ,Elevation: 
海拔网格,ElevationGrid
"消除内部的所有置换器修改器(仅从极限PBR),并将网格转换为真实对象,如果决定减少多边形数,则会增加多边形减少器的强度.  ","Eliminates all the displacer modifiers inside (Only from extreme pbr), and transforms the mesh into a real object, if you decide to reduce the number of polygons it increases the intensity of the polygon reducer."
椭圆形,Ellipse
椭圆/圆,Ellipse / Circle
椭圆遮罩,Ellipse Mask
椭圆形选项:,Ellipse Options:
椭圆形状,Ellipse Shape
椭圆工具,Ellipse Tool
椭圆辅助尺,Ellipse assistant
椭圆定义最后一种模式,Ellipse definition last mode
椭圆定义模式,Ellipse definition mode
椭圆偏心率,Ellipse eccentricity
椭圆焦距(Ellipse focal length),Ellipse focal length
椭圆的主要半径,Ellipse major radius
椭圆次半径,Ellipse minor radius
椭圆形状,Ellipse shape
椭圆形,Ellipses
椭圆,Ellipsis
椭圆垂直尺寸,Ellipsis vertical size
椭球体,Ellipsoid
椭圆系数:,Elliptic factor:
椭圆滤波,Elliptical Filtering
椭圆选区,Elliptical Selection
椭圆选区工具,Elliptical Selection Tool
榆树,Elm
榆树,Elm Tree
其他:仅导出AdditionalTrack.ini,Else: export only AdditionalTrack.ini
电子邮箱,Email
电子邮箱：,Email:
邮箱 Email: %s,Email: %s
将零件嵌入网格表面,Embed Plug into mesh surface
插入根,Embed Roots
毛发根插入的深度,Embed Roots Depth
将根嵌入目标网格,Embed Roots into target mesh
内嵌纹理,Embed Textures
导出时嵌入纹理,Embed Textures on Export
插入曲线带的根的深度,Embed curve ribbons roots depth
毛发根插入源网格表面,Embed hair roots inside source surface geometry
插入根,Embed roots
内嵌 sRGB 特性文件,Embed sRGB profile
"FBX 二进制文件的内嵌纹理 (仅供 ""复制"" 路径模式!)","Embed textures in FBX binary file (only for ""Copy"" path mode!)"
在FBX二进制文件中嵌入纹理(仅用于\,Embed textures in FBX binary file (only for \
嵌入提示,Embed tips
内嵌到 .KRA 文件,Embed to .KRA
嵌入式 Embedded,Embedded
嵌入的数据,Embedded Data
嵌入式启动,Embedded Start
内嵌的 SVG 形状,Embedded svg shape
Embergen体积材质,Embergen Volume Material
附加图标：,Emblem icon:
浮雕,Emboss
浮雕 (拉普拉斯),Emboss (Laplacian)
对角线浮雕,Emboss Diagonal
水平和垂直浮雕,Emboss Horizontal & Vertical
水平和垂直浮雕,Emboss Horizontal && Vertical
仅水平浮雕,Emboss Horizontal Only
仅垂直浮雕,Emboss Vertical Only
深度,Depth
全方向浮雕,Emboss in All Directions
可变深度浮雕,Emboss with Variable Depth
压花: <subtext>如果输入应该有一个浮雕外观</>,Emboss: <subtext>If the input should have an embossed look</>
Embree,Embree
GPU上启用Embree光追,Embree on GPU
'GPU上启用Embree光追'可在Intel的GPU上使用硬件进行光线追踪，从而提供更好的整体性能,"Embree on GPU enables the use of hardware ray tracing on Intel GPUs, providing better overall performance"
翡翠,Emerald
急救车,Emergency vehicle
自发光渐变,Emiss. ramp
自发光,Emission
发光强度,Emission Amount
发射反弹光采样,Emission Bounced Light Samples
自发光颜色,Emission Color
自发光颜色:,Emission Color:
双面发光,Emission Doublesided
发射强度,Emission Intensity
自发光层,Emission Layer
自发光贴图,Emission Map
发射材质,Emission Material
发射方法,Emission Method
自发光乘数,Emission Multiplier
自发光系数:,Emission Multiplier:
发射节点,Emission Node
发射数量,Emission Number
发射数量为每平方,Emission Number is per square
每平方发射量,Emission Number per square
"发射R,G,B","Emission R, G, B"
自发光重映射渐变,Emission Remap Ramp
自发光重映射范围,Emission Remap Range
自发光采样,Emission Sampling
发射随机种值,Emission Seed Value
自发光着色器,Emission Shader
自发光强度,Emission Str
自发光强度,Emission Strength
发射时间,Emission Time
发射时间系数,Emission Time Factor
发光类型,Emission Type
Emission(自发光)预览器,Emission Viewe
发射查看器,Emission Viewer
自发光权重,Emission Weight
自发光 XTM PBR,Emission XTM PBR
自发光通道,Emission channel
自发光颜色,Emission color
自发光颜色，仅在自定义模式下有效。,"Emission color, only valid in custom mode."
发光网格,Emission grid
自发光强度,Emission intensity
发射位置/面 (0 = 自动),Emission locations / face (0 = automatic)
发射位置/面 (0 = 自动),Emission locations per face (0 = automatic)
自发光贴图强度(0=自发光),Emission map intensity (0 = No emission)
自发光模式,Emission mode
创建时的生成量,Emission on Creation
自发光输出,Emission out
每平方面积的生成数量,Emission per Square Area
自发光贴图后缀,Emission postfix
自发光渐变,Emission ramp
自发光缩放,Emission scale
具有黑体辐射的发射着色器。,Emission shader with black-body radiation.
自发光权重,Emission weight
自发光+漫射,Emission+diffuse
自发光+高光,Emission+specular
自发光,Emissive
自发光颜色,Emissive Color
自发光颜色贴图,Emissive Color Map
自发光颜色:,Emissive Color:
自发光强度,Emissive Intensity
自发光遮罩贴图,Emissive Mask Map
自发光材质,Emissive Material
自发光材质.,Emissive Material.
自发光缩放,Emissive Scale
自发光通道,Emissive channel
自发光颜色,EmissiveColor
自发光强度,EmissiveStrength
自发光,Emit
发射源,Emit From
从当前帧发射,Emit From Current Frame
发射乘数,Emit Multiplier
发射偏移量,Emit Offset
发射粒子,Emit Particles
最大自发光颜色,Emit color max
最小自发光颜色,Emit color min
发出bash的完成代码,Emit completion code for bash
发出fish的完成代码,Emit completion code for fish
发出zsh的完成代码,Emit completion code for zsh
从网格表面或体积发射流体,Emit fluid from mesh surface or volume
发射自,Emit from
自发光图像,Emit image
以随机次序发射元素,Emit in random order of elements
从面平面的两面发光,Emit light from both faces of area plane
每个面发射一个粒子,Emit one Particle per faces
每一个顶点发射一个粒子,Emit one Particle per verticles
使用应用了修改器的网格发射粒子(视图和渲染必须使用相同的细分级数才能获得正确的结果),Emit particles from mesh with modifiers applied (must use same subdivision surface level for viewport and render for correct results)
使用应用了修改器的网格发射粒子(视图和渲染必须使用相同的细分数才能获得正确的结果),Emit particles from mesh with modifiers applied (must use same subsurf level for viewport and render for correct results)
从网格体表面或体积内部发散烟雾,Emit smoke from mesh surface or volume
从粒子发射烟雾,Emit smoke from particles
发射.名称,Emit. Name
发射体,Emitter
发射距离,Emitter Distance
发射体滤波方法 Emitter Filter Method,Emitter Filter Method
发射器产生率(百分比),Emitter Generation Rate (Percent)
发射体局部Z,Emitter Local Z
发射器最大多边形数量,Emitter Maximal Poly-Count
发射器方法,Emitter Method
发射最小多边形数量,Emitter Minimal Poly-Count
仅发射体,Emitter Only
发射体原点,Emitter Origin
发射器设置:,Emitter Settings:
发射器表面,Emitter Surface
发射器表面:,Emitter Surface :
发射器表面:,Emitter Surface:
发射器切换方法:,Emitter Switch Method:
用于新系统的发射体 Emitter for new systems,Emitter for new systems
发光材质,Emitter material
未找到发射器,Emitter not found
不支持发射器粒子类型,Emitter particle type not supported
"发射器目标对象，你将分散你的粒子。注意，目标类型需要是一个网格,不能是另一个粒子系统的实例","Emitter target object, where you will Scatter your Particles. Note that the target type need to be a mesh, and cannot be an instance of another particle_system"
发射源/自发光,Emitters
发光AOV,Emitters AOV
自发光通道,Emitters pass
感情,Emotion
在运动路径中突出关键帧的位置,Emphasize position of keyframes on Motion Paths
空物体,Empties
创建空物体,Empties created
"找到了空物体，但没有ARRAY或HOOK修改器！ Empties found, but no ARRAY or HOOK modifiers present!","Empties found, but no ARRAY or HOOK modifiers present!"
空物体,Empty
空 - ,Empty - 
空添加,Empty Added
空阵列,Empty Array
空集合...,Empty Collection...
空物体的显示尺寸,Empty Display Size
空物体的显示尺寸: %.3f,Empty Display Size: %.3f
空物体的显示类型,Empty Display Type
空过滤器,Empty Filter
自动渲染后清空GPU资源,Empty GPU resources after rendering automatically
渲染完成之后清空GPU,Empty GPUs After Render
空几何体,Empty Geometry
空组,Empty Groups
空图像深度,Empty Image Depth
空图像边,Empty Image Side
空白关键帧,Empty Keyframes
空遮罩,Empty Mask
空网格物体,Empty Mesh Object
空节点层,Empty Node Layer
空编码 | ,Empty Noded | 
空物体,Empty Object
空对象原点,Empty Object Origin
不允许空PLTE.,Empty PLTE is not allowed.
空的路径,Empty Path
空前缀,Empty Prefix
空物体缩放,Empty Scale
空物体缩放: %.3f,Empty Scale: %.3f
空槽,Empty Slots
空白空间,Empty Space
空纹理资产,Empty Texture Asset
空物体向量FX,Empty Vector FX
清空骨架，只添加必要的肢体,Empty armature to add only the necessary limbs
空骨列表,Empty bone list
空物体显示类型,Empty display type
"找到空物体，但不存在ARRAY或HOOK修改器！ Empty found, but no ARRAY or HOOK modifiers present!","Empty found, but no ARRAY or HOOK modifiers present!"
空位置,Empty location
"空的 msgid，由 GNU gettext 保留：
gettext("""") 将返回文件头项，而不
是空字符串。
","Empty msgid.  It is reserved by GNU gettext:
gettext("""") returns the header entry with
meta information, not the empty string.
"
带有地理节点修改器的空对象，其中在给定曲面/发射器信息上生成散射点.请注意，手动模式将在此对象上写入顶点.,Empty object with a Geonode modifier where the scattered points are generated on the given surface/emitter information. Note that manual mode will write vertices on this object.
空输出(Empty out),Empty out
空格,Empty slot
空烟域,Empty smoke domain
声音为空！,Empty sound!
空块颜色,Empty tile color
创建空物体,Empty will be created
将创建空物体 (X),Empty will be created (X)
空 {empty.name} 不在库中. 不能成为本地,Empty {empty.name} is not in library. Cant be made local
空的.....,Empty...
空物体: %s,Empty: %s
空物体,Emptys
模拟三键鼠标,Emulate 3 Button Modifier
模拟三键鼠标,Emulate 3 Button Mouse
"使用Alt+鼠标左键模拟鼠标中键(如果你使用左键选择的话,那么选择循环边将切换成 ""双击"" 环选,而且选择并排边不能用了!!!! 这里推荐用右键选择)",Emulate Middle Mouse with Alt+Left Mouse
模拟数字键盘,Emulate Numpad
模拟旧体积算法特性,Emulate old volume behavior
模拟4.0及更早版本的发射和散射行为,Emulate the behavior of of emission and scattering of version 4.0 and earlier
仿真曲线,Emulated Curve
模拟Modo的动作中心,Emulates Action Centers from Modo
模拟数字键盘,Emulation of numpad
EnTrend,EnTrend
启用,Enable
在LuxCore设备设置启用“使用的CPU”,"Enable ""Use CPUs"" in LuxCore device settings"
在物体数据属性中启用'自动平滑',Enable 'Auto Smooth' in Object Data Properties
在网格设置中启用‘自动平滑’选项,Enable 'Auto Smooth' option in mesh settings
在网格设置中启用 '自动平滑' 选项以进行强化,Enable 'Auto Smooth' option in mesh settings for hardening
启用Cycles渲染,Enable 'CYCLES
"在包含活动片段的NLA轨道上启用 ""孤立模式""，以编辑它而不看到NLA堆栈的效果","Enable 'solo' on the NLA Track containing the active strip, to edit it without seeing the effects of the NLA stack"
在资产浏览器中启用/禁用当前库,Enable / Disable current library in Asset Browser
启用/禁用 HDR投影,Enable / disable HDR projection
启用12k分辨率，如果已安装,"Enable 12k resolution, if it is installed"
启用16k分辨率，如果已安装,"Enable 16k resolution, if it is installed"
启用4k分辨率，如果已安装,"Enable 4k resolution, if it is installed"
启用8k分辨率，如果已安装,"Enable 8k resolution, if it is installed"
启用A.N.T.景观,Enable A.N.T. Landscape
启用 AF-C,Enable AF-C
启用AI提升采样设置,Enable AI up-sampling
启用AI采样提升,Enable AI upsampling
启用AOV输出,Enable AOV Output
为力场启用自适应时间步进,Enable Adaptive Time Stepping for Force Fields
启用障碍物自适应时间步进,Enable Adaptive Time Stepping for Obstacles
启用自适应网络单纯形最小值(较慢) Enable Adaptive network simplex minimum-cost flow solver(slower),Enable Adaptive network simplex minimum-cost flow solver(slower)
启用适应性细分,Enable Adpative Subdivision
全部启用,Enable All
启用抗锯齿,Enable Anti-Aliasing
启用光圈滑块而不是预设列表,Enable Aperture slider instead of preset list
启用骨架,Enable Armature
启用后使资产浏览器编辑器和操作将数据块作为资产管理,Enable Asset Browser editor and operators to manage data-blocks as asset
启用资产浏览器编辑器和操作将数据块作为资产管理，而非仅姿态,"Enable Asset Browser editor and operators to manage regular data-blocks as assets, not just poses"
启用异步网格划分,Enable Async Meshing
启用大气,Enable Atmosphere
启用自动,Enable Auto
启用自动凹凸映射,Enable Auto Bump Mapping
在用户首选项>保存和加载中启用自动运行python脚本    Enable Auto Run Python Scripts in User Preferences > Save & Load,Enable Auto Run Python Scripts in User Preferences > Save & Load
启用自动对焦,Enable Autofocus
开启自动采样,Enable Automatic Sampling
启用自动保存,Enable Autosaving
启用自动平滑,Enable Autosmooth
启用可用通道,Enable Available Channels
启用轴预览,Enable Axis Preview
启用背景,Enable Background
启用外部烘焙,Enable Baked Outside
启用烘焙,Enable Baking
启用条形板,Enable Bargeboard
启用完美通道,Enable Beauty Pass
启用身体驱动,Enable Body Drivers
启用散景纹理,Enable Bokeh Texture
启用骨骼,Enable Bone
启用骨骼设置,Enable Bone Options
骨头不使任何几何体形变,Enable Bone to deform geometry
开启凹凸法向输出,Enable Bump Normal Output
启用凹凸贴图,Enable Bump map
启用CMS,Enable CMS
启用CMS配置,Enable CMS Config
启用相机剔除,Enable Camera Culling
启用相机降噪,Enable Camera Denosier
启用相机成像,Enable Camera Imager
启用相机运动模糊,Enable Camera Motion Blur
开启焦散,Enable Caustics
启用Cavity贴图,Enable Cavity map
启用子级比例影响，远离团块中心时缩小比例,"Enable Children Scale Influence, Scale down when away from the clump center"
启用子级,Enable Childs
启用钳制(仅颜色和AO),Enable Clamping (Color and AO Channels Only)
启用悬崖,Enable Cliffs
启用清漆,Enable Coating
启用衣领(Collar),Enable Collar
启用集合导出,Enable Collection Export
启用碰撞,Enable Collision
启用注解,Enable Comments
启用合并撤销,Enable Cumulative Undo
启用游标,Enable Cursor
启用曲率贴图,Enable Curvature map
启用Cycles渲染,Enable Cycles
启用Cycles渲染引擎插件以使用Cycles,Enable Cycles Render Engine add-on to use Cycles
为开发人员启用Cycles调试选项,Enable Cycles debugging options for developers
启用Cycles渲染引擎,Enable Cycles render engine
启用失活性,Enable Deactivation
启用调试模式,Enable Debug Mode
启用调试操作,Enable Debug Operators
"启用贴花移除模式
这允许从硬盘驱动器中永久删除贴花","Enable Decal Removal Mode
This allows for permanent removal of Decals from the hard drive"
启用贴纸移除模式.这将永久删除硬盘中的贴纸——且无法撤消！！！！.,Enable Decal Removal Mode. This Permanently Deletes Decals from the Hard Drive.
启用深度输出,Enable Deep Output
开启变形模糊,Enable Deformation Blur
启用降噪,Enable Denoising
启用景深深度,Enable Depth of Field
启用景深控制,Enable Depth of Field control
启用漫反射,Enable Diffuse
开启漫射输出,Enable Diffuse Output
开启漫射RAW输出,Enable Diffuse Raw Output
启用置换,Enable Displacement
启用置换预览,Enable Displacement Preview
启用置换预览以查看更新,Enable Displacement Preview to view updates
启用域边界附近的粉尘发射,Enable Dust Emission Near Domain Boundary
启用动态拓扑,Enable Dynamic Topology
启用动态拓扑,Enable Dyntopo
为开发人员启用EEVEE调试选项,Enable EEVEE debugging options for developers
启用编辑模式边缘平滑，减少锯齿，需要重启Blender才能生效,"Enable Edit-Mode edge smoothing, reducing aliasing, requires restart"
启用效果,Enable Effects
启用自发光,Enable Emission
启用域边界附近的发射,Enable Emission Near Domain Boundary
启用环境,Enable Environment
启用环境光,Enable Environment Light
启用扩展用户界面面板,Enable Expanded UI Panel
启用实验性网格操作.,Enable Experimental Mesh Ops.
启用曝光控制,Enable Exposure Controls
启用扩展顶点,Enable Extend Vert
启用函数曲线修改器解算,Enable F-Curve modifier evaluation
启用函数曲线修改器,Enable F-Curve modifiers
启用 FK,Enable FK
启用面部驱动程序,Enable Face Drivers
启用淡化,Enable Fade
启用淡化,Enable Fading
启用伪彩色视图转换以验证曝光,Enable False Color view transform to validate your exposure
启用层板,Enable Fascia
启用灵活缩放,Enable Flex Scaling
启用流体粒子调试,Enable Fluid Particle Debugging
开启焦点,Enable Focus
启用力场调试,Enable Force Field Debugging
启用FractureMOD,Enable FractureMOD
启用菲涅尔,Enable Fresnel
开启前/后,Enable Front/Back
启用Fuze贴图,Enable Fuze map
开启GI,Enable GI
启用GPU特性,Enable GPU Features
启用GPU加速计算队列中的最后一个表面细分修改器,Enable GPU acceleration for evaluating the last subdivision surface modifiers in the stack
开启 GPU 计算,Enable GPU calculations
启用生成,Enable Generation
启用Gizmo,Enable Gizmo
开启全局光照,Enable Global Illumination
启用Cycles中的贴花的光泽度射线,Enable Glossy Rays for Decals in Cycles
启用Grease Pencil OpenGL多次采样，仅适用于支持它的系统,"Enable Grease Pencil OpenGL multi-sampling, only for systems that support it"
启用栅格显示以使用范围突出显示！,Enable Grid Display to use range highlighting!
启用生长遮罩,Enable Grow Mask
先启用引导！默认为流体速度,Enable Guides first! Defaulting to Fluid Velocity
在兼容硬件上启用HDR渲染管道,Enable HDR rendering pipeline on compatible hardware
在交互模式下启用HDR色调映射,Enable HDR tonemapping in Interactive Mode
在渲染模式下启用HDR色调映射,Enable HDR tonemapping in Render Mode
启用助手工具箱,Enable Helper Toolbox
启用启发式,Enable Heuristic
启用高分辨率屏幕 (Hi-DPI) 支持,Enable Hi-DPI support
启用I / O操作,Enable I/O Operators
启用 IK,Enable IK
开启 IK 拉伸,Enable IK Stretching
启用ISO设置滑块而不是预设列表,Enable ISO setting slider instead of preset list
使基于图像的照明,Enable Image-based lighting
"启用UI中的导入/导出操作
","Enable Import/Export Operations in the UI:
"
启动Importon,Enable Importons
启用彩虹色,Enable Iridescence
启用岛屿旋转步骤,Enable Island Rotation Step
启用抖动技术.噪声添加到取样,Enable Jittering. Adds noise into the sampling 
启用抖动技术.噪声添加到采样过程(它应避免在动画使用抖动),Enable Jittering. Adds noise into the sampling process (it should be avoided to use jitter in animation)
启用LZMA压缩,Enable LZMA Compression
启用图层预览模式,Enable Layer Preview Mode
启用层排序,Enable Layer Sorting
开启传统凹凸采样技术,Enable Legacy Bump Sampling Technique
启用传统模式,Enable Legacy Mode
开启传统无GI体积散射,Enable Legacy No GI From Volume Scattering
开启传统非逆正方形衰减灯光(逆正方为物理精确),Enable Legacy Non Inverse Square Light Decay
开启传统体积网格自发光,Enable Legacy Volume Grid Emission
启用灯光,Enable Light
启用灯光物体方向,Enable Light Object Direction
启用限制碰撞,Enable Limit Collision
启用线条渲染,Enable Line Rendering
启用活动对象-In,Enable Live Object-In
启用日志,Enable Logging
启用错误报告日志,Enable Logging for bug reports
启用遮罩,Enable Mask
启用Material Combiner,Enable Material Combiner
启用材质最大综合追踪深度,Enable Material's Max Combined Trace Depth
使用遮罩透明度,Enable Matte Opacity
启用最大距离,Enable Max Distance
启用介质,Enable Media
启用网状体积SDF,Enable Mesh Volume SDF
为相交查询启用 MetalRT,Enable MetalRT for intersection queries
启用最小距离,Enable Min Distance
启用镜像,Enable Mirror
为所有WPTools操作启用镜像,Enable Mirror for all WPTools operations
启用Modo-Me标题菜单,Enable Modo-Me Header Menu
启用运动模糊,Enable Motion Blur
启用运动模糊控制,Enable Motion Blur control
在Octane内核中启用运动模糊,Enable Motion Blur in Octane Kernel
在渲染设置中启用运动模糊,Enable Motion Blur in the Render Settings
启用运动模糊渲染,Enable Motion Blur render
启用多视图,Enable Multi-View
启用NodeScapes,Enable NodeScapes
启用节点,Enable Nodes
启用法线,Enable Normal
启用法向输出,Enable Normals Output
启用障碍调试,Enable Obstacle Debugging
启用Octane球体属性,Enable Octane Sphere Attribute
启用不透明,Enable Opacity
启用不透明纹理,Enable Opacity Texture
"启用OpenGL多重采样,仅适用于支持它的系统","Enable OpenGL multi-sampling, only for systems that support it"
启用OpenSubDiv,Enable OpenSubDiv
对支持GPU启用Optix光线追踪,Enable OptiX RT On Supported GPUs
启用光学光晕,Enable Optical Vignetting
启用围绕选择物体旋转,Enable Orbit around Selection
启用围绕选择物体旋转.,Enable Orbit around Selection.
启用覆盖,Enable Overlays
启用POV景深 ,Enable POV Depth Of Field 
启用POV大气介质,Enable POV atmospheric media
启用POV光能传递计算,Enable POV radiosity calculation
启用POV纹理烘焙,Enable POV texture baking
启用POV-Ray的景深,Enable POV-Ray Depth Of Field 
启用POV-射线大气介质,Enable POV-Rays atmospheric media
启用POV-射线辐射度计算,Enable POV-Rays radiosity calculation
启用POV-射线纹理烘焙,Enable POV-Rays texture baking
启用包创建者,Enable Package Creator
启用植物包管理器,Enable Package Manager
启用包装箱,Enable Packing Box
启用图案,Enable Pattern
启用压感笔传感器,Enable Pen Settings
启用降噪后期处理,Enable Perspective Denosier
启用透视成像,Enable Perspective Imager
启用透视后期处理,Enable Perspective Postprocess
启用Phantom模式,Enable Phantom Mode
启用物理灯光,Enable Physical Light
启用像素过滤,Enable Pixel Filtering
启用平面裁剪,Enable Plane Trim
启用口袋(Pockets),Enable Pockets
启用后期处理,Enable PostProcess
启用预设,Enable Presets
启用项目UVW坐标,Enable Project UVW Coordinates
启用投影,Enable Projection
启用保护,Enable Protection
为选定文件启用Python评估,Enable Python evaluation for selected files
启用RPR降噪器,Enable RPR Denoiser
启用辐射度,Enable Radiosity
启用随机颜色,Enable Random Colors
启用红眼(Red Eyes),Enable Red Eyes
启用反射,Enable Reflection
开启反射输出,Enable Reflection Output
开启反射RAW输出,Enable Reflection RAW Output
开启反射染色输出,Enable Reflection Tint Output
启用反射,Enable Reflections
启用折射,Enable Refraction
启用折射效果影响区域光,Enable Refraction Affects AreaLights
启用折射效果影响穹顶灯光,Enable Refraction Affects Dome Lights
开启折射输出,Enable Refraction Output
开启折射RAW输出,Enable Refraction RAW Output
开启折射染色输出,Enable Refraction Tint Output
启用折射,Enable Refractions
启用折射焦散,Enable Refractive Caustics
启用渲染层,Enable Render Layers
启用此相机的分辨率覆盖,Enable Resolution override for this Camera
启用S​​DL窗口,Enable SDL window
启用 ST3 网格工具,Enable ST3 Meshtools
启用保存状态,Enable Savestates
启用场景,Enable Scene
启用屏幕投射,Enable Screen Cast
启用脚本,Enable Script
对第一次反弹启用次级射线钳制,Enable Secondary Ray Clamping On First Bounce
启用选择,Enable Selection
启用选择 {plural},Enable Selection by {plural}
开启自碰撞,Enable Self Collision
开启着色器完整性检查（非常慢）,Enable Shader Integrity Check (VERY SLOW)
启用阴影,Enable Shadows
启用辉光,Enable Sheen
启用覆盖效果,Enable Sheeting Effects
启用 Shift 操作,Enable Shift Operation
启用快捷方式,Enable Shortcut
启用缩裹遮罩,Enable Shrink Mask
启用,Enable
启用快门速度滑块而不是预设列表,Enable Shutter Speed slider instead of preset list
启用排序,Enable Sorting
启用稳定渲染,Enable Stable Rendering
启用次表面,Enable Subsurface
启用次表面散射,Enable Subsurface Scattering
启用曲面捕捉,Enable Surface Snapping
启用表面张力,Enable Surface Tension
启用曲面切换,Enable Surface Toggle
启用对称,Enable Symmetry.
启用临时文件,Enable Tempfiles
启用置换和细分,Enable Tessellation And Displacement
启用工具叠加层,Enable Tool Overlays
启用工具设置,Enable Tool Settings
启用顶栏,Enable Topbar
启用触控设备的绘画输入,Enable Touch Painting
启用跟踪深度覆盖,Enable Trace Depth Overrides
启用追踪转储,Enable Trace Dump
启用转换,Enable Transform
启用透明度,Enable Transparency
启用透明薄膜,Enable Transparent Film
启用UI层交换,Enable UI Layer Swapping
启用UI交换,Enable UI Swapping
启用界面翻译并使用国际化字体,Enable UI translation and use international fonts
启用UV,Enable UV
启用UV同步,Enable UV Sync
启用统一缩放,Enable Uniform Scaling
启用视图优化,Enable Viewport Optimization
启用黏度,Enable Viscosity
启用白平衡控制,Enable White Balance controls
启用白水发射,Enable Whitewater Emission
启用白水模拟,Enable Whitewater Simulation
启用白水工具提示,Enable Whitewater Tooltip
启用世界,Enable World
开启世界输出,Enable World Output
启用世界空间,Enable World Space
启用X轴对齐,Enable X axis alignment
透视模式,Enable X-Ray.
启用Y轴对齐,Enable Y axis alignment
开启Z深度输出,Enable Z Depth Output
启用Z轴对齐,Enable Z axis alignment
"编辑网格叠加层开启菲涅尔效果.
对于非常浓密的网格提升形状可读性, 但在低模下会增加视觉疲劳","Enable a fresnel effect on edit mesh overlays.
It improves shape readability of very dense meshes, but increases eye fatigue when modeling lower poly"
启用工作区的插件,Enable add-on for workspace
为新曲线数据块启用其他功能,Enable additional features for the new curves data block
启用重命名的附加功能,Enable additional feautres for renaming
启用添加剂调合,Enable additive blending
启用高级边线检测选项 (球面半径及 极小 Kr 导数),Enable advanced edge detection options (sphere radius and Kr derivative epsilon)
启用始于：,Enable after:
全部启用,Enable all
启用所有饼菜单模块,Enable all Pie Modules
启用所有层,Enable all layers
启用全部层或仅前16层(顶行),Enable all layers or just the first 16 (top row)
启用所有预设属性,Enable all preset attributes
启用环境光遮蔽(AO)以模拟中间缩放的间接阴影,Enable ambient occlusion to simulate medium scale indirect shadowing
启用插件,Enable an add-on
启用和禁用对象的计数. 这在与自定义编号变量结合使用时特别有用 @n,Enable and Disable the numeration of objects. This can be especially useful in combination with the custom numberation variable @n
启用角度分割,Enable angle splitting
启用角度机动,Enable angular motor
启用大气,Enable atmosphere
启用自动选择,Enable auto select
启用自动在常规模式选择,Enable auto select in regular mode
操作时启用自动保存 (可能会导致blender崩溃),Enable auto-save while manipulating (may crash blender)
启用自动LOD切换,Enable automatic LOD switching
启用在文件加载时自动转换代理为库重写,Enable automatic conversion of proxies to library overrides on file load
启用自动光滑 (基于平滑/尖锐面/边缘和面之间的角度),Enable automatic smooth based on smooth/sharp faces/edges and angle between faces
在某些物体模式下，可以自动切换轨迹球和转盘,Enable automatic switching between Trackball and Turntable in certain object modes
开启轴向镜像,Enable axis mirror
启用后台缓存生成,Enable background cache generation
开启烘焙,Enable baking
启用挡光板,Enable barn doors
启用 HP Reverb G2 控制器的绑定。请注意，这可能不受所有 OpenXR 运行时的支持,Enable bindings for the HP Reverb G2 controllers. Note that this may not be supported by all OpenXR runtimes
启用 HTC Vive Cosmos控制器的绑定。请注意，这可能不受所有OpenXR运行时的支持,Enable bindings for the HTC Vive Cosmos controllers. Note that this may not be supported by all OpenXR runtimes
启用HTC Vive Focus 3控制器的绑定。请注意，这可能不受所有OpenXR运行时的支持,Enable bindings for the HTC Vive Focus 3 controllers. Note that this may not be supported by all OpenXR runtimes
启用华为控制器的绑定。请注意，这可能不受所有OpenXR运行时的支持,Enable bindings for the Huawei controllers. Note that this may not be supported by all OpenXR runtimes
对选择启用布尔操作,Enable boolean operations on selections
启用反弹相机,Enable bounce camera
启用组节点缓存,Enable buffering of group nodes
启用内置菜单,Enable built-in menu
按标签启用,Enable by Tag
启用缓存,Enable cache
启用目录，使包含的资产在资产架中可见,"Enable catalog, making contained assets visible in the asset shelf"
启用焦散,Enable caustics
开启灯光焦散计算(如果灯光也开启了的话),Enable caustics calculation from light (if enabled..)
显示段长度时启用厘米,Enable centimeters when displaying segments length
启用基于曲线平面长度的链式裂解,Enable chain splitting by curvilinear 2D length
启用链按点划线图案裂解,Enable chain splitting by dashed line patterns
启用链形特征边,Enable chaining of feature edges
启用集合实例,Enable collection instancing
在雕刻时启用与表面的碰撞,Enable collision with the surface while sculpting
启用具有后域边框的碰撞,Enable collisions with back domain border
启用具有底部域边框的碰撞,Enable collisions with bottom domain border
