on	"""Blender-to-Unreal export bundle generation and remote execution bridge."""	"""Blender到Unreal导出捆绑包生成和远程执行桥接."""	C
on	"""Bundled factory materials,textures,and preset asset discovery."""	"""捆绑工厂材质、纹理和预设资产发现."""	C
on	"'" in value and value.endswith("'"	"'" 以值和价值结尾("'"	C
on	"""Route selected quad faces through the regular edge-strip pipeline."""	"""通过规则边缘带管线路由选定的四边面."""	C
on	"edge(s)"	"边缘(s))"	C
on	"description":"Generate customizable decals along mesh edges",	"description":"沿网格边生成可自定义贴花",	C
on	("SHADE_SMOOTH","Shade Smooth","Use standard smooth shading without a custom normal modifier",)	("SHADE_SMOOTH","Shade Smooth","使用标准平滑着色无自定义法线修改器",)	C
on	("FACE_AREA","Face Area Averaged","Shade smooth and average normals using neighboring face areas",)	("FACE_AREA","Face Area Averaged","使用相邻面区域着色平滑和平均法线",)	C
on	("WEIGHTED","Weighted Normals", "Shade smooth and use face-area plus corner-angle weighted normals",)	("WEIGHTED","Weighted Normals", "着色平滑并使用面区域加角角度加权法线",)	C
on	("AO","Ambient Occlusion","Use local raycast occlusion around each edge or bevel band",)	("AO","Ambient Occlusion","围绕每个边或斜边带使用局部光线投射堵塞",)	C
on	("GEOMETRY","Geometry", "Use the previous face-normal and corner-angle classification",)	("GEOMETRY","Geometry", "使用上一个面法线和角角度分类",)	C
on	("UP", "Up", "Move layer up in the stack")	("UP", "Up", "在堆栈中上移动层")	C
on	("DOWN", "Down", "Move layer down in the stack")	("DOWN", "Down", "在堆栈中向下移动层")	C
on	("SHADE_SMOOTH","Shade Smooth","Use standard smooth shading without a custom normal modifier",),("FACE_AREA","Face Area Averaged","Shade smooth and average normals using neighboring face areas",)	("SHADE_SMOOTH","Shade Smooth","使用标准平滑着色无自定义法线修改器",),("FACE_AREA","Face Area Averaged","Shade smooth and average normals using neighboring face areas",)	C
on	("AO","Ambient Occlusion","Use local raycast occlusion around each edge or bevel band",),("GEOMETRY","Geometry", "Use the previous face-normal and corner-angle classification",)	("AO","Ambient Occlusion","围绕每个边或斜边带使用局部光线投射堵塞",),("GEOMETRY","Geometry", "Use the previous face-normal and corner-angle classification",)	C
on	RuntimeError(f"Operator category not found: {category}")	RuntimeError(f"找不到运算符类别: {category}")	C
on	RuntimeError(f"Operator not found: {bl_idname}")	RuntimeError(f"找不到运算符: {bl_idname}")	C
on	RuntimeError("The UV pipeline unexpectedly changed decal topology.")	RuntimeError("UV管道意外更改了贴花拓扑.")	C
on	ValueError(f"Image '{image.name_full}' must be file-based or packed")	ValueError(f"图像 '{image.name_full}' 必须基于文件或打包")	C
on	ValueError(f"Image '{image.name_full}' has no saved file")	ValueError(f"图像 '{image.name_full}' 没有保存的文件")	C
on	ValueError(f"Image '{image.name_full}' file was not found: {source_path}")	ValueError(f"图像 '{image.name_full}' 找不到文件: {source_path}")	C
on	OSError("Could not resolve the user texture directory")	OSError("无法解析用户纹理目录")	C
on	OSError("Could not resolve the user texture path")	OSError("无法解析用户纹理路径")	C
on	OSError("Could not resolve the user material library directory")	OSError("无法解析用户材质资产库目录")	C
on	RuntimeError(f'{label} was not found at "{path}".')	RuntimeError(f'{label} 在处找不到 "{path}".')	C
on	RuntimeError(f'Invalid decal master material path: "{path}".')	RuntimeError(f'无效贴花主材质路径: "{path}".')	C
on	RuntimeError(f'Could not create decal master material at "{package_path}".')	RuntimeError(f'无法在创建贴花主材质 "{package_path}".')	C
on	RuntimeError("Could not connect NormalTexture to the master material Normal input.")	RuntimeError("无法将NormalTexture连接到主材质法线输入.")	C
on	RuntimeError("Could not connect Opacity to the master material Opacity input.")	RuntimeError("无法将不透明度连接到主材质不透明度输入.")	C
on	RuntimeError(f"Could not create material instance {instance_package}.")	RuntimeError(f"无法创建材质实例 {instance_package}.")	C
on	RuntimeError(f'Imported asset "{asset_name}" is not a Static Mesh.')	RuntimeError(f'进口资产 "{asset_name}" 不是静态网格.')	C
on	RuntimeError(f'Could not map imported material slots for {mesh.get_name()}. Slots: {names or "none"}.')	RuntimeError(f'无法映射导入的材质槽 {mesh.get_name()}. 插槽: {names or "none"}.')	C
on	RuntimeError("The Blueprint has no subobject root.")	RuntimeError("蓝图没有子对象根.")	C
on	RuntimeError(f"Could not add {variable_name} component: {fail_reason}")	RuntimeError(f"无法添加 {variable_name} 成分: {fail_reason}")	C
on	RuntimeError(f"Could not rename Blueprint component to {variable_name}.")	RuntimeError(f"无法将Blueprint组件重命名为 {variable_name}.")	C
on	RuntimeError(f"Could not resolve Blueprint component {variable_name}.")	RuntimeError(f"无法解析蓝图组件 {variable_name}.")	C
on	RuntimeError(f"Could not create Blueprint {blueprint_package}.")	RuntimeError(f"无法创建蓝图 {blueprint_package}.")	C
on	RuntimeError(f"Edge Decal manifest does not exist: {manifest_path}")	RuntimeError(f"边缘贴花清单不存在: {manifest_path}")	C
on	RuntimeError("Unsupported Edge Decal Unreal manifest version.")	RuntimeError("不支持的边缘贴花Unreal清单版本.")	C
on	RuntimeError("Nanite workflow requires both source and decal meshes.")	RuntimeError("Nanite工作流需要源网格和贴花网格.")	C
on	RuntimeError("The Unreal import completed without a result asset.")	RuntimeError("Unreal导入完成无结果资产.")	C
on	ValueError("Preset root must be a JSON object")	ValueError("预设根目录必须是JSON对象")	C
on	ValueError("Unsupported preset version")	ValueError("不支持的预设版本")	C
on	ValueError("Preset has no name")	ValueError("预设没有名称")	C
on	ValueError("Preset has no settings")	ValueError("预设没有设置")	C
on	ValueError("Enter a preset name")	ValueError("输入预设名称")	C
on	OSError("Blender did not provide a user configuration directory")	OSError("Blender未提供用户配置目录")	C
on	ValueError("Surface Voronoi sites must have non-zero length.")	ValueError("表面Voronoi场地必须具有非零长度.")	C
on	ValueError("Surface Voronoi requires a planar support face.")	ValueError("表面Voronoi需要平面支撑面.")	C
on	ValueError("Surface Voronoi currently requires a convex support face.")	ValueError("表面Voronoi当前需要凸包支撑面.")	C
on	ValueError("Surface Voronoi could not parameterize a support face.")	ValueError("表面Voronoi无法参数化支撑面.")	C
on	ValueError("Surface Voronoi could not triangulate a support face.")	ValueError("表面Voronoi无法三角化支持面.")	C
on	RuntimeError(f'Texture "{image.name}" is neither packed nor available on disk: {error}')	RuntimeError(f'纹理 "{image.name}" 磁盘上既没有打包也不可用: {error}')	C
on	RuntimeError("Blender's FBX exporter is unavailable.")	RuntimeError("Blender的FBX导出不可用.")	C
on	RuntimeError(f"FBX export failed: {filepath}")	RuntimeError(f"FBX导出失败: {filepath}")	C
on	RuntimeError("Choose a mesh export folder.")	RuntimeError("选择网格导出文件夹.")	C
on	RuntimeError("Could not combine the source and decal meshes.")	RuntimeError("无法组合源网格和贴花网格.")	C
on	RuntimeError("Could not find Unreal's remote_execution.py. Set Unreal Engine Root in Advanced.")	RuntimeError("找不到Unreal的remote_execution.py。在高级中设置Unreal引擎根目录.")	C
on	RuntimeError("The bundled Unreal importer script is missing.")	RuntimeError("捆绑的Unreal导入脚本丢失.")	C
on	No Unreal Editor remote node found. Enable Python Editor Script Plugin and \n Project Settings > Plugins > Python > Enable Remote Execution,then keep " "the project open	找不到Unreal编辑器远程节点。启用Python编辑器脚本插件和\n 投射设置>插件>Python>启用远程执行，然后保留" "投射开始了	CW
on	RuntimeError("More than one Unreal Editor remote node was found. Close the other editors and retry.")	RuntimeError("找到多个一Unreal编辑器远程节点。关闭其它编辑器并重试.")	C
