"工具库","Tool Base"
"从给定的 propname 运行更新函数等效项，如果找到 propname，则返回 True，否则返回 False","run update function equivalence from given propname, return True if propname found else False"
"创建新的置换修改器","create a new displace modifier"
"自动 bpy.ops.mesh.bisect()","automatic bpy.ops.mesh.bisect()"
"在库中写入一个带有布尔语句的小文本文件","write in library a little text file with boolean statement"
"从文本文件中获取语句，如果没有找到，则认为是打开的","get statement from text file, if none found, then consider that is open"
"bpy.context.window_manager.scatter5.library","bpy.context.window_manager.scatter5.library"
"检查这条路径上是否有一些生物群落","check if there's some biomes down this path"
"将映射包含基本信息的路径文件夹生物群系结构","will map a path folder biome structure with basic information"
"。","."
"为 scatter5 管理器库的每个元素注册每个预览","Register every previews for each elements of scatter5 manager library"
"取消注册库中的所有图标","unregister all icons of library"
"获取给定元素的图标 ID。图标","get icon id of given element.icon"
"检查此路径中是否存在其他带有某些生物群落的嵌套文件夹（用于文件夹导航 ICON gui）","check if there's some other nested folder with some biomes in this path (for folder navigation ICON gui)"
"调用默认","INVOKE_DEFAULT"
"绘制用户生物群落库","Draw user Biome Library"
"该文件夹似乎为空！","This Folder Seems to be empty!"
"在线商店","Draw Online Store"
"每隔 X 天或未找到 last_fetch_path 路径时将所有预览写入磁盘","Write all Previews on disk every X Days or if last_fetch_path path not found"
"AddonPrefs 类的绘图功能，存储在属性中","drawing dunction of AddonPrefs class, stored in properties"
"这两种许可证都可以在“www.geoscatter.com/legal”上找到","Both licenses can be found on “www.geoscatter.com/legal”"
"本协议可在“www.geoscatter.com/legal”上查阅","This agreement is available on “www.geoscatter.com/legal”"
"联系信息：","Contact Information:"
"访问“www.geoscatter.com”","Visit “www.geoscatter.com”"
"访问“www.geoscatter.com/legal”","Visit “www.geoscatter.com/legal”"
"*如果文本不可读，请扩展此界面。","*Extend this interface if texts are not readable."
"冒名顶替者主页","Impostor Main"
"冒名顶替者标头","Impostor Header"
"设置","Settings"
"进口商T面板","importor T panel"
"暂时将插件首选项的绘图代码 Monkey patch 为我们自己的代码","Monkey patch drawing code of addon preferences to our own code, temporarily"
"注册冒名顶替者","register impostors"
"恢复并查找原始绘图类","restore and find original drawing classes"
"TODO 创建 .excel 表，将其按列分成单列文件，从单列创建枚举，然后创建枚举，使 Translation() fct 在重新启动时工作","TODO create .excel sheet, separate it per column into single column file, create enum from single column, make enum then made translate() fct work on restart"
"支持的语言：","Supported Languages:"
"        -英语","        -English"
"        -西班牙语","        -Spanish"
"        -法语","        -French"
"        -日本人","        -Japanese"
"        -中文（简体）","        -Chinese (Simplified)"
"收集键盘映射项","collect keymap item"
"塞尔","sel"
"隐藏视口","hide_viewport"
"隐藏渲染","hide_render"
"锁","lock"
"s_visibility_view_allow","s_visibility_view_allow"
"s_visibility_maxload_allow","s_visibility_maxload_allow"
"s_visibility_facepreview_allow","s_visibility_facepreview_allow"
"s_visibility_cam_allow","s_visibility_cam_allow"
"s_display_allow","s_display_allow"
"检查给定的路径是否位于 GUI 中正在关闭的文件夹中","check if the given path is located in a folder being closed in the gui"
"获取界面中使用的有用道具","get useful props used in interface"
"绘制主创作面板","draw main creation panel"
"根据实例和选项查找粒子系统名称","find particle system name depending on instances and options"
"根据实例和选项查找粒子系统颜色","find particle system color depending on instances and options"
"*汽车*","*AUTO*"
"绘制主面板标题","draw main panels header"
"修饰符","modifier"
"屏蔽列表设置为活动","mask lists to set active"
"Scatter5 置换 img-uv","Scatter5 Displace img-uv"
"UV 置换","UV Displace"
"Scatter5 置换噪声 01","Scatter5 Displace noise 01"
"噪音置换 01","Noise Displace 01"
"Scatter5 置换噪音 02","Scatter5 Displace noise 02"
"噪音置换 02","Noise Displace 02"
"绘制手动子面板","draw manual sub panel"
"错误：活动画笔为无！您是怎么做到的？","ERROR: Active Brush is None! how did you do that?"
"      ","      "
"未知：{}","unknown: {}"
"未知：{}:{}","unknown: {}:{}"
"同步一切","Sync Everything"
"同步工具属性","Sync Tool Properties"
"同步位置属性","Sync Location Properties"
"同步旋转属性","Sync Rotation Properties"
"同步比例属性","Sync Scale Properties"
"同步设置属性","Sync Settings Properties"
"我的群组","MyGroup"
"选择区域","selection area"
"弹出窗口仅由 draw_coll_ptr_prop() 使用","popover only used by draw_coll_ptr_prop() "
"bpy.context.object.scatter5.particle_interface_items，将存储在发射器上","bpy.context.object.scatter5.particle_interface_items, will be stored on emitter"
"大/小项目列表的绘制项目功能非常相似","drawing item function for large/small item lists are highly similar"
"错误：项目为无","ERROR: Item is None"
"错误：项目来源为无","ERROR: Item source is None"
"系统列表紧凑尺寸，适用于 N 面板和快速列表快捷方式","system-list compact size, for N panel & quick list shortcut"
"系统列出完整选项，用于管理器界面","system-list full options, for manager interface"
"布局模板根据上下文在 'scatter5.fix_nodetrees' 或 'scatter5.fix_scatter_obj' 中绘制一个 quickfix 按钮 operator_id","layout template to draw a quickfix button operator_id in 'scatter5.fix_nodetrees' or 'scatter5.fix_scatter_obj' depending on context"
"用于调整面板，也用于快速列表界面","used in tweaking panel but also in quick lister interface"
"调试接口，仅限开发人员","Debug Interface, Dev Only"
"发射器.粒子接口_idx","emitter.particle_interface_idx"
"发射器.粒子接口刷新（）","emitter.particle_interface_refresh()"
"发射器.粒子系统：","emitter.particle_systems:"
"发射器.粒子组：","emitter.particle_groups:"
"psy_active 信息：","psy_active info:"
"针对我们的群组系统项目的特殊移动设置行为","special move-set behavior for our group system item"
"箱板之间的间距","spacing between box panels"
"箱板末端的间距","spacing at the end of a box panel"
"绘制子面板打开模板，使用fct添加自己的设置","draw sub panel opening template, use fct to add own settings"
"检查是否应该绘制界面，如果没有创建或激活任何内容","check if interface should be drawn, if nothing created or active"
"检查类别是否被锁定","check if category is locked"
"检查类别主允许是否关闭","check if category master allow is off"
"在可见性和显示功能中绘制视口方法","draw viewport method in visibility and display features"
"地理分散用户列","Geo-Scatter User Col"
"绘制集合指针模板，用于 psy 或 group","draw collection pointer template, for psy or group"
"绘制 context_scene.scatter5 相机更新依赖项方法","draw context_scene.scatter5 camera update dependencies method"
"绘制过渡控制特征，该特征重复多次","draw the transition control feature, this feature is repeated many times"
"每个通用掩码 API 都应该有 _mask_ptr _mask_reverse","every universal masks api should have _mask_ptr _mask_reverse"
"绘制特征影响 api","draw the feature influence api"
"绘制主调整面板","draw main tweaking panel"
"散射表面","ScatterSurfaces"
"*","*"
"/","/"
"+","+"
"-","-"
"布尔对象","Boolean-Objects"
"向上物体","Upward-Objects"
"十","X"
"是","Y"
"是","Z"
"物体排斥","Object-Repel"
"遮挡碰撞","OcclusionColl"
"实例区域","instance area"
"实例化对象","Instancing Objects"
"错误，该组为空","Error, this group is empty"
"s_gr_pattern1_texture_ptr","s_gr_pattern1_texture_ptr"
"s_gr_pattern1","s_gr_pattern1"
"密度","Density"
"碰撞","Collision"
"只读","Read Only"
"画","Paint"
"种子","Seed"
"随机化","Randomize"
"规模","Scale"
"随机的","Random"
"对齐","Align"
"普通的","Normal"
"局部 Z","Local Z"
"图案","Pattern"
"新的","New"
"s_pattern1_texture_ptr","s_pattern1_texture_ptr"
"BR 模式","BR-Pattern"
"积极的","Active"
"亮度","Brightness"
"对比","Contrast"
"从所有场景的所有视图层中排除集合","exclude a collection from all view layers f all scenes"
"取消集合中所有对象的链接","unlink all obj from a collection"
"从集合名称中获取视图层。","Get viewlayer from collection name."
"通过名称设置活动集合，如果失败则返回 False。","Set collection active by name, return False if failed."
"关闭所有大纲视图层区域的级别","close level on all outliner viewlayer area"
"在给定的父级中创建新的集合并链接（如果不是无）。","Create new collection and link in given parent (if not None)."
"为此场景创建散射收集设置","Create scatter collection set-up for this scene"
"姓名","Name"
"创建新的纹理数据，输入 [IMAGE,CLOUDS,NOISE,WOOD]","create e new texture data, type in [IMAGE,CLOUDS,NOISE,WOOD]"
"获取四个边界框顶点","get the four bounding box top points"
"通过四个点创建四边形","create quad from four points"
"创建单点对象","create single point object"
"细分 o","subdivide o"
"子","sub"
"创建细分平面，（总 bpy.ops）","create subdivided plane, (gross bpy.ops)"
"锁定对象变换","lock object transforms"
"你好世界","Hello World"
"弹出菜单","popup_menu"
"连续多次使用 scroll_up() 运算符将 view2d 滚动到顶部","scroll view2d to top using scroll_up() operator multiple times in a row"
"标记重新绘制所有上下文窗口区域","tag redraw all context window area"
"空事件类，仅供单例使用","empty event class, only use by singleton"
"更新事件单例，这是一个内部操作符","update event singleton, this is an internal operator"
"通过 bpy.types.Operatorinvoke() 获取重建的事件类型","get rebuilt Event type via bpy.types.Operator invoke()"
"调试打印","debug print"
"定时器装饰器","timer decorator"
"返回所有 3d 视图空间的生成器","return generator of all 3d view space"
"返回所有着色类型 str 的生成器","return generator of all shading type str"
"检查是否在某个 3D 视图中渲染视图","check if is rendered view in a 3d view somewhere"
"在我们切换布尔属性时不想注册撤消操作的情况下很有用","useful for some cases where we don't want to register an undo when we toggle a bool property"
"虚拟占位符","dummy place holder"
"快速执行简单的代码行，无需创建新的运算符","quickly execute simple line of code, witouth needing to create a new operator"
"存储表面目标","store surfaces target"
"图像蒙版","ImageMask"
"从给定的 blend_path 导入地理节点","import geonode(s) from given blend_path"
"从给定的 blend_path 导入对象","import obj(s) from given blend_path"
"在新的 .blend 中导出 obj","export obj in a new .blend"
"解决方法是，使用运算符上下文覆盖来获取正确的上下文。areas[x].selected_asset_files 无法工作","workaround, use an operrator context override to get correct cotext. areas[x].selected_asset_files just refuses to work"
"从操作员上下文中收集资产浏览项","gather asset browset items from operator context"
"从浏览器导入选定的对象类型资产，链接/附加取决于技术","import selected object type assets from browser, link/append depends on technique"
"按名称将材料导入搅拌机数据","import materials by name into blender data"
"在 bpy.data.images 中导入图像","import images in bpy.data.images"
"转换未知的 blendertypes","convert unknown blendertypes"
"暂时隐藏/恢复 perfs 的所有 modstack 视口选项，否则 python 会在每一行代码中评估整个 blender 场景","temporarily hide/restore all modstack viewport options for perfs, otherwise python evaluate whole blender scene at each line of code"
"检查修饰符顺序（比较索引）","check modifier order (compare index)"
"获取 mod 的索引","get index of mod"
"按名称对 modstack 进行排序，按类型选项进行过滤","order the modstack by names, filter by type option"
"将值重新映射到给定的最小值和最大值","remap values to given minimal and maximal"
"本地到全局 numpy 坐标","local to global numpy coordinates"
"本地 co 到本地 obj","local co to local obj"
"支持选择/活动和模式，我不认为经典的覆盖支持模式？","support for selection/active & also mode, i don't think that classic override support mode?"
"对 bpy 类型的简单序列化尝试，我们可能需要稍后实现新类型","naive serialization attempt on bpy types, we might need to implement new types later"
" dict > .json，将 json 写入磁盘"," dict > .json, will write json to disk"
".json -> 字典",".json -> dict"
"获取给定路径内的所有目录路径","get all directories paths within given path"
"获取给定路径内的所有文件路径","get all files paths within given path"
"获取给定文件夹内所有现有文件路径","get all existing files paths within the given folder"
"从给定深度获取父文件夹","get parent folder from given depth"
"获取给定深度的文件夹列表","get list of folders at given depths"
"通过概览所有文件夹并检查这些位置是否存在文件来进行搜索，这种方法更快吗？","search by overviewing all folders and checking if file exists at these locations, faster method?"
"检查字符串是否包含非法字符","check if string has illegal char"
"使字符串合法","make string legal"
"查找尚不存在名称的后缀","find suffix with name that do not exists yet"
"返回带有后缀的正确字符串以避免重复","return a correct string with suffix to avoid doubles"
"将字符串换行","word wrap a piece of string"
"自动换行功能","word wrap function"
"返回浮点值，并根据小数进行适当舍入","return float value with rounding appropriate depending on decimal value"
"将平方面积转换为 cm²/m²/ha/km²","stringify squarearea to cm²/m²/ha/km²"
"获取散点计数的字符串版本","get string version of scatter count"
"这个插件的版本控制很笨，它有时使用字符串格式，有时 blender 使用列表格式等等。最终为了","versioning is very dumb in this plugin, it sometimes use string format, sometimes blender use a list format ect.. ultimately in order to "
"获取体重字典","get weight dict"
"从给定值填充 vg（可以是 int、float、list、np array、dict）","fill vg from given values (can be int,float,list,np array,dict)"
"如果不是 None，则使用给定值创建或刷新 vg","create or refresh vg with given value(s) if not None"
"如果不是 None，则使用给定值创建或刷新 vcol","create or refresh vcol with given value if not None"
"如果存在则将 vg 设置为活动状态","Set vg active if exist"
"使用 ops.vertex_group_invert() 反转 vg","reverse vg with ops.vertex_group_invert()"
"扩大给定权重","expand given weight"
"垂直","Vcol"
"如果创建新数据，用户需要在对话框中确认名称","if create new data, user need to confirm name in dialog box"
"根据所选模式返回属性列表，vgs 或 vcols","return list of attributes, vgs or vcols, depending on chosen mode"
"在创建新的或进入绘画之间调度","dispatch between create new or enter painting"
"添加 vg 编辑，== 为 vg 绘制曲线图，仅适用于程序掩码 VG 的运算符","add vg edit, == map curve graph for vg, OPERATOR FOR PROCEDURAL MASK VG ONLY"
".S5Face预览",".S5FacePreview"
"附加信息框的实例","append an instance of the infobox"
"将选择写入每个表面的顶点颜色层","write selection into vertex color layers for each surfaces"
"退出模式时调用","called when quitting the modal"
"pcv_调试","pcv_debug"
"信息框测试操作员","InfoBox Test Operator"
