"开始","Inception"
"在系统中打开当前位置","Open the current location in the System"
"路径","Path"
"打开 .blend 文件","Open .blend file"
"包含此资产的 blend 文件已打开。","The blend file containing this asset is already open."
"机械3：切换文件浏览器","MACHIN3: Toggle Filebrowser"
"MACHIN3：调整缩略图大小","MACHIN3: Adjust Thumbnail Size"
"缩略图大小","Thumbnail Size"
"反向循环指令","Reverse Cycle Diretion"
"机械3：聚焦","MACHIN3: Focus"
"方法","Method"
"级别","Levels"
"在单级 Blender 本地视图和多级 MACHIN3 聚焦之间切换","Switch between single-level Blender native Local View and multi-level MACHIN3 Focus"
"取消镜像","Un-Mirror"
"忽略镜像","Ignore Mirrors"
"反转聚焦","Inverted Focus"
"时间 %d","Epoch %d"
"机械3：分组","MACHIN3: Group"
"通过将对象关联到空对象来分组对象","Group Objects by Parenting them to an Empty"
"MACHIN3：取消分组","MACHIN3: Un-Group"
"取消分组所有选定的组","Un-Group all Selected Groups"
"向下取消分组整个层次结构","Un-Group entire Hierarchy down"
"取消分组","Un-Group"
"所有选定组","All Selected"
"整个层次结构","Entire Hierarchy"
"机器 3：分组","MACHIN3: Groupify"
"将任何空层次结构转化为组","Turn any Empty Hirearchy into Group"
"MACHIN3：选择组","MACHIN3: Select Group"
"Select Group\nCTRL： 向下选择整个组层次结构","Select Group\nCTRL: Select entire Group Hierarchy down"
"MACHIN3: 复制组","MACHIN3: duplicate_group"
"MACHIN3: 添加到组","MACHIN3: Add to Group"
"将选择添加至组","Add Selection to Group"
"重新对齐空组","Re-Align Group Empty"
"添加镜像修改器（如果现有组中有共同的修改器","Add Mirror Modifiers, if there are common ones among the existing Group"
"从组添加对象颜色","Add Object Color, from Group"
"添加颜色","Add Color"
"添加镜像","Add Mirror"
"MACHIN3：从组中移除","MACHIN3: Remove from Group"
"从组移除选择","Remove Selection from Group"
"MACHIN3：切换大纲显示子模式","MACHIN3: Toggle Outliner Children"
"MACHIN3： 切换大纲组模式","MACHIN3: Toggle Outliner Group Mode"
"MACHIN3：折叠大纲","MACHIN3: Collapse Outliner"
"MACHIN3：展开大纲","MACHIN3: Expand Outliner"
"转换组","Transform Group"
"回忆姿势 + 完成","Recall Pose + Finish"
"选择空组","Select Group Empty"
"设置组小玩意","Setup Group Gizmos"
"5° 角捕捉","5° Angle Snap"
"设置姿势 + 完成","Set Pose + Finish"
"标记要删除的姿势","Mark Pose for Removal"
"标记要移除的所有姿势","Mark All Poses for Removal"
"MACHIN3：变换组","MACHIN3: Transform Group"
"组空名称","Group Empty Name"
"旋转轴","Rotation Axis"
"MACHIN3：烘焙组小尺寸","MACHIN3: Bake Group Gizmo Size"
"将全局尺寸设为 1，并对每个组进行补偿","Set Global Size to 1, and compensate each Group"
"全部切换","Toggle All"
"MACHIN3：设置组小工具","MACHIN3: Setup Group Gizmos"
"锁定旋转轴，不带小工具","Lock Rotational Axes without Gizmos"
"MACHIN3：设置组姿态","MACHIN3: Set Group Pose"
"设置组姿态","Set Group Pose"
"MACHIN3： 更新组姿态","MACHIN3: Update Group Pose"
"根据当前组的空旋转更新活动姿势","Update active Pose from current Group Empty Rotation"
"批量检索","Batch Retrieval"
"向上更新","Update Up"
"也更新层次结构上的姿势","Update Poses Up the Hierarchy too"
"更新非链接","Update Unlinked"
"更新已取消链接的姿势","Update Poses, that have been unlinked too"
"MACHIN3：检索群组姿势","MACHIN3: Retrieve Group Pose"
"检索选定的群组姿势","Retrieve Selected Group Pose"
"向上检索","Retrieve Up"
"也检索层次结构上的姿势","Retrieve Poses Up the Hierarchy too"
"检索未链接的","Retrieve Unlinked"
"也检索已取消链接的姿势","Retrieve Poses, that have been unlinked too"
"MACHIN3：排序群组姿势","MACHIN3: Sort Group Pose"
"MACHIN3：删除群组姿势","MACHIN3: Remove Group Pose"
"删除相关批次姿势","Remove related Batch Poses"
"删除组层次结构中所有相关的批次姿势","Remove all related Batch Poses in the Group Hierarchy"
"向上移除","Remove Up"
"将层次结构中更高的批次姿势也移除","Remove Batch Poses further Up the Hierarchy too"
"移除断开连接的","Remove Disconnected"
"移除已解除连接的批次姿势","Remove Batch Poses, that have been unlinked too"
"要移除的批次姿势：","Batch Poses to be Removed:"
"指定到鼠标下的对象","Assign to Object Under Mouse"
"清除材质 + 完成","Clear Materials + Finish"
"视口","Viewport"
"MACHIN3：材质选择器","MACHIN3: Material Picker"
"从 3D 视图选取和/或分配材质，或从资产浏览器批量分配材质","Pick and/or assign Material from the 3D View, or batch assign from the Assetbrowser"
"是键图调用","is Keymap Invocation"
"MACHIN3：网格切割","MACHIN3: Mesh Cut"
"使用另一个对象切割网格对象。","Cut a Mesh Object, using another Object.\nALT: Flatten Target Object"
"平整目标","Flatte Target"
"标记接缝","Mark Seams"
"压平目标对象","Flatten Target"
"选取轴线","Pick Axis"
"全部移除 + 完成","Remove All + Finish"
"循环镜像对象","Cycle Mirror Object"
"MACHIN3: 镜子","MACHIN3: Mirror"
"轻弹","Flick"
"移除","Remove"
"二等分","Bisect"
"U","U"
"V","V"
"跨光标镜像","Mirror across Cursor"
"使用错误对象移除","Use Mislinged Object Removal"
"使用现有的空光标","Use existing Cursor Empty"
"DECALmachine - UV","DECALmachine - UVs"
"光标为空","Cursor Empty"
"机器3：解除镜像","MACHIN3: Unmirror"
"删除所选对象堆栈中的最后一个修改器","Removes the last modifer in the stack of the selected objects"
"机械3：四面体","MACHIN3: Quadsphere"
"创建四面体","Creates a Quadsphere"
"细分","Subdivisions"
"平滑阴影","Shade Smooth"
"MACHIN3：切换 3D 视图区域","MACHIN3: Toggle 3D View Region"
"根据鼠标位置切换 3D 视图区域","Toggle 3D View Region based on Mouse Position"
"我们可以","We can"
"MACHIN3： 切换资产浏览器区域","MACHIN3: Toggle Asset Browser Region"
"根据鼠标位置切换资产浏览器区域","Toggle Asset Browser Region based on Mouse Position"
"MACHIN3：切换工具栏或侧边栏（任何区域）","MACHIN3: Toggle Toolbar or Sidebar (Any Region)"
"切换工具栏或侧边栏（任意区域）","Toggle Toolbar or Sidebar (Any Region)"
"MACHIN3：区域跳线","MACHIN3: Area Dumper"
"MACHIN3：渲染","MACHIN3: Render"
"四分之一质量","Quarter Quality"
"半质量","Half Quality"
"双倍质量","Double Quality"
"四倍质量","Quadruple Quality"
"种子渲染","Seed Render"
"最终渲染","Final Render"
"渲染结果","Render Result"
"小丑哑光","Clownmatte"
"小丑对象","ClownObject"
"机器3：复制节点","MACHIN3: Duplicate Nodes"
"正常复制节点，但密码矩阵 V2 节点除外，在这种情况下，保留输入并清除哑光 ID","Duplicate Nodes normaly, except for Cryptomatte V2 nodes, in that case keep the inputs and clear out the matte ids"
"MACHIN3：选择中心对象","MACHIN3: Select Center Objects"
"选择中心对象，即 X、Y 或 Z 轴两侧都有顶点的对象。","Selects Objects in the Center, objects, that have verts on both sides of the X, Y or Z axis."
"MACHIN3：选择线材对象","MACHIN3: Select Wire Objects"
"选择设置为 WIRE 显示类型的对象 （nALT: 隐藏对象 （nCLTR: 包括空对象","Select Objects set to WIRE display type\nALT: Hide Objects\nCLTR: Include Empties"
"MACHIN3：选择层次结构","MACHIN3: Select Hierarchy"
"选择层次向下","Select Hierarchy Down"
"层次结构方向","Hierarchy Direction"
"包括选择","Include Selection"
"包括当前选择","Include Current Selection"
"包括模式对象","Include Mod Objects"
"包括模式对象，即使它们不是","Include Mod Objects, even if they aren"
"取消隐藏 + 选择","Unhide + Select"
"遇到隐藏的子代/父代时，取消隐藏并选择它们","Unhide and Select hidden Children/Parents, if you encounter them"
"递归选择子代","Select Recursive Children"
"递归选择子代","Select Children Recursively"
"递归选择父母","Select Recursive Parents"
"递归选择父母","Select Parents Recursively"
"递归","Recursive"
"取消隐藏","Unhide"
"绝对到达层级顶端","Reached ABSOLUTE Top of Hierarchy"
"向上选择 ","Selecting Up "
"+ 取消隐藏 ","+ Unhiding "
"+递归 ","+ Recursive "
"+ 包含","+ Inclusive"
"到达层次结构的绝对底部","Reached ABSOLUTE Bottom of Hierarchy"
"向下选择","Selecting Down"
"MACHIN3：智能驱动","MACHIN3: Smart Drive"
"用一个对象驱动另一个对象","Drive one Object using another"
"MACHIN3： 切换驱动器值","MACHIN3: Switch Driver Values"
"MACHIN3: set_driver_value","MACHIN3: set_driver_value"
"值","Value"
"MACHIN3： 智能边缘","MACHIN3: Smart Edge"
"切换锋利","Toggle Sharp"
"锋利模式","Sharp Mode"
"重量","Weight"
"夹钳重叠","Clamp Overlap"
"环形滑动","Loop Slide"
"无坡口","Is Unbevel"
"偏移边缘滑动","Offset Edge Slide"
"切割","Cuts"
"插补","Interpolation"
"可刀切","Can be Knife Projected"
"是刀凸出","Is Knife Project"
"通过切割","Cut Through"
"选择模式","Select Mode"
"刀项目","Knife Project"
"倒角","Chamfer"
"韩国斜面","Korean Bevel"
"MACHIN3：智能面","MACHIN3: Smart Face"
"合并到邻近的垂直面","Merge to closeby Vert"
"将焦点放在新对象上","Focus on new Object"
"使用焦点","Use Focus"
"抓取","Snap"
"发散","Diverge"
"MACHIN3：智能垂直","MACHIN3: Smart Vert"
"合并类型","Merge Type"
"居中合并路径","Merge Paths in center"
"路径类型","Path Type"
"滑动覆盖","Slide Override"
"单顶点倒角","Single Vertex Bevelling"
"与要移除的超光标小工具相关的边缘索引","Index of Edge accociated with HyperCursor Gizmo, that is to be removed"
"可以削平","Can Flatten"
"削平端面","Flatten End Face"
"滑动扩展","Slide Extend"
"合并","Merge"
"在中心","in Center"
"最短路径","Shortest Path"
"MACHIN3：切换平滑","MACHIN3: Toggle Smooth"
"切换韩式斜面和 SubD 对象的平滑处理","Toggle Smothing for Korean Bevel and SubD Objects"
"切换叠加","Toggle Overlays"
"平滑模式","Smooth Mode"
"子 D","SubD"
"MACHIN3：曲面滑动","MACHIN3: Surface Slide"
"启动曲面滑动：修改拓扑结构，同时保持初始形状不变","Start Surface Sliding: modifify the topology while keeping the inital form intact"
"表面滑动","SurfaceSlide"
"MACHIN3：完成表面滑动","MACHIN3: Finish Surface Slide"
"停止表面滑动","Stop Surface Sliding"
"MACHIN3：添加螺纹","MACHIN3: Add Thread"
"线段","Segments"
"螺纹","Threads"
"深度","Depth"
"深度占小直径的百分比","Depth in Percentage of minor Diameter"
"渐变","Fade"
"逐渐变为内直径的区段百分比","Percentage of Segments fading into inner Diameter"
"底部侧面","Bottom Flank"
"顶面","Crest"
"顶部侧面","Top Flank"
"根部","Root"
"MACHIN3：准备统一出口","MACHIN3: Prepare Unity Export"
"只准备，不输出","Only Prepare, don"
"由 DECALmachine 使用，即使场景道具已设置，也可跳过导出（DECALmachine 使用自己的导出操作器代替）。","Used by DECALmachine to skip Export even if the scene prop is set\nDECALmachine uses its own Export Operator Instead"
"MACHIN3：恢复 Unity 导出","MACHIN3: Restore Unity Export"
"恢复导出前的对象变换、网格和修改器","Restore Pre-Export Object Transformations, Meshes and Modifiers"
"MACHIN3：绘制群组休息姿势","MACHIN3: Draw Group Rest Pose"
"尺寸","Size"
"时间（秒）","Time (s)"
"阿尔法","Alpha"
"反向运动","Reverse the Motion"
"MACHIN3：绘制无法分组的图像","MACHIN3: Draw Ungroupable"
"分组变换小工具","Group Transform Gizmo"
"选择中心对象","Select Center Objects"
"选择导线对象","Select Wire Objects"
"应用变换","Apply Transformations"
"添加线程","Add Thread"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"分组","Groupify"
"选择组","Select Group"
"复制组","Duplicate Group"
"添加到组","Add to Group"
"从组移除","Remove from Group"
"调用区域赢","INVOKE_REGION_WIN"
"exec_region_win","EXEC_REGION_WIN"
"(X) 取消分组","(X) Un-Group"
"(Q) 设置群组小工具","(Q) Setup Group Gizmos"
"四面体","Quad Sphere"
"集合名称","Collection Name"
"更新缩略图","Update Thumbnail"
"组起源","Group Origin"
"快速渲染","Quick Render"
"种子计数","Seed Count"
"最终种子渲染","Final Seed Render"
"MACHIN3tools %s","MACHIN3tools %s"
"按钮","Button"
"驱动程序","Driver"
"值","Values"
"转换","Transform"
"空间","Space"
"驱动","Driven"
"极限","Limit"
"驱动它","Drive it!"
"输出","Export"
"三角测量","Triangulate"
"EXEC_DEFAULT","EXEC_DEFAULT"
"准备 + 导出 %s","Prepare + Export %s"
"恢复变换","Restore Transformations"
"组工具","Group Gizmos"
"全局组工具","Global Group Gizmos"
"活动组","Active Group"
"完成后禁用！","Disable, when done!"
"调整组起源","Adjust Group Origin"
"群组小工具","Group Gizmo"
"姿势","Poses"
"预览","Preview"
" 无"," None"
"设置姿势","Set Pose"
"批量设置姿势","Set Batch Pose"
"更新","Update"
"自动选择","Auto Select"
"隐藏空箱","Hide Empties"
"装配","Assembly"
"是递归和链接","is recursive and linked"
"递归","is recursive"
"是链接的","is linked"
"资产集合","Asset Collection"
"实例名称","Instance Name"
"子类","Children"
"创建装配资产","Create Assembly Asset"
"反汇编","Disassemble"
"移除装配体","Remove Assembly"
"删除资产","Remove Asset"
"BC","BC"
"模式","Modes"
"制作本地","Make Local"
"顶点","Vertex"
"面","Face"
"双网格编辑","Dual Mesh Edit"
"小工具","Gizmos"
"切换","Toggle"
"完成表面滑动","Finish Surface Slide"
"自动合并","Auto Merge"
"UV 编辑","UV Edit"
"绘制","Paint"
"蒙版","Mask"
"查看","View"
"对象","Object"
"同步选择","Sync Selection"
"岛屿","Island"
"编辑模式","Edit Mode"
"姿势","Pose"
"雕刻模式","Sculpt Mode"
"雕刻","Sculpt"
"绘制","Draw"
"多帧","Multiframe"
"插值","Interpolate"
"收缩包装","Shrinkwrap"
"不透明度","Opacity"
"厚度","Thickness"
"保存、打开、附加","Save, Open, Append"
"打开...","Open..."
"保存","Save"
"另存为","Save As.."
"新建","New"
"递增保存","Incremental Save"
"(R) 最近","(R) Most Recent"
"所有最新","All Recent"
"TOPBAR_MT_file_open_recent","TOPBAR_MT_file_open_recent"
"撤销保存","Undo Save"
"重做保存","Redo Save"
"打开临时目录","Open Temp Dir"
"还原","Revert"
"OBJ","OBJ"
"导入","Import"
"FBX","FBX"
"美元","USD"
"STL","STL"
"上一页","Previous"
"下一个","Next"
"您当前在临时文件夹中","You are currently in the Temp Folder"
"如果要保存，请在其他地方保存！","If you want to save, do it elsewhere!"
"附加","Append"
"链接","Link"
"TOPBAR_MT_file_external_data","TOPBAR_MT_file_external_data"
"清除","Purge"
"重新加载库","Reload Libraries"
"清除 .blend","Clean out .blend"
"着色和叠加","Shading and Overlays"
"统计","Stats"
"光标","Cursor"
"起源","Origins"
"全部","All"
"网格","Grid"
"线框（全部 + 选择）","Wireframe (all + selection)"
"线框（X 射线）","Wireframe (XRay)"
"线框（活动）","Wireframe (Active)"
"X-Ray","X-Ray"
"活动","Active"
"(Q) 轮廓","(Q) Outline"
"(V) 曲度","(V) Curvature"
"名称","Name"
"轴线","Axes"
"正面","In Front"
"平面","Flat"
"输入_1","Input_1"
"插座_1","Socket_1"
"自动平滑","Auto Smooth"
"自动平滑角度","Auto Smooth Angle"
"自动平滑角度： 无","Auto Smooth Angle: None"
"(N) 清除自定义正常值","(N) Clear Custom Normals"
"正常值","Normals"
"锐化","Sharp"
"斜面","Bevel"
"褶皱","Creases"
"接缝","Seams"
"曲线","Curve"
"填充","Fill"
"分辨率","Resolution"
"手柄","Handles"
"长度","Length"
"世界空间","World Space"
"(X) 遮罩开关","(X) Matcap Switch"
"遮罩翻转","Matcap Flip"
"为场景材料着色","Colorize Scene Materials"
"从","from"
"材料","Material"
"收集","Collection"
"引擎","Engine"
"世界阴影","World Shadow"
"+180","+180"
"执行隐藏渲染","Enforce hide_render"
"预设","Presets"
"通过","Passes"
"合成器","Compositor"
"阴影","Shadows"
"用户预置","User Presets"
"光晕","Bloom"
"色散","Dispersion"
"射线","Rays"
"抖动","Jittered"
"体积","Volumetric"
"光线追踪","Raytracing"
"最大粗糙度","Max Roughness"
"精度","Precision"
"角度厚度","Angular Thickness"
"体积","Volumes"
"自定义范围","Custom Range"
"密度","Density"
"强度","Strength"
"循环设置","Cycles Settings"
"去噪","Denoise"
"快速 GI","Fast GI"
"最大步长","Max Steps"
"宽度","Width"
"面板贴花的斜角半径通过父对象进行调节！","Bevel Radius of Panel Decals is modulated via the parent object!"
"目前还不支持非面板贴花的斜角着色！","Bevel Shader on non-panel decals is not (yet?) supported!"
"您真的需要它吗？如果需要，请给我发电子邮件：decal@machin3.io","Do you really need this? Email me, if so: decal@machin3.io"
"不支持对无父对象的贴花进行斜角着色。","Bevel Shader on decals without parent objects is not supported."
"活动对象切换","Active Object Toggle"
"活动对象系数","Active Object Factor"
"(L) 实体","(L) Solid"
"渲染","Rendered"
"线框","Wireframe"
"视口和摄像机","Viewport and Cameras"
"正面","Front"
"轨道选择","Orbit Selection"
"智能视图摄像机","Smart View Cam"
"(Q) 上一个摄像机","(Q) Previous Cam"
"(W) 下一个摄像头","(W) Next Cam"
"要查看的凸轮","Cam to view"
"返回","Back"
"自定义视图","Custom Views"
"本地","Local"
"重置视口","Reset Viewport"
"Y 最小值","Y min"
"Y 最大值","Y max"
"居中","Center"
"拉直","Straighten"
"将对象对齐至垂直","Align Object to Vert"
"将对象对齐至边缘","Align Object to Edge"
"X 最小值","X min"
"X 最大值","X max"
"Z 最小值","Z min"
"Z 最大值","Z max"
"水平","Horizontal"
"垂直","Vertical"
"UV 对齐","UV Align"
"V 最小值","V min"
"V 最大值","V max"
"U 最小值","U min"
"U 最大值","U max"
"U 光标","U Cursor"
"V 光标","V Cursor"
"光标和原点","Cursor and Origin"
"至 %s","to %s"
"至选定","to Selected"
"至游标","to Cursor"
"对象原点","Object Origin"
"至几何体","to Geometry"
"至活动","to Active"
"至底部","to Bottom"
"   拖动超光标","   Drag Hyper Cursor"
"至原点","to Origin"
"至光标，偏移","to Cursor, Offset"
"至网格","to Grid"
"单个","Individual"
"支点","Pivot Point"
"方向","Orientation"
"自定义","Custom"
"仅影响","Affect Only"
"位置","Locations"
"家长","Parents"
"抢拍","Snapping"
"绝对网格","Absolute Grid"
"体积","Volume"
"曲面","Surface"
"更多","More..."
"集合","Collections"
".贴花",".Decals"
"从","Remove from"
"添加到","Add to"
"移至","Move to"
"创建","Create"
"场景集（选择）","Scene Collections (Selection)"
"场景收藏","Scene Collections"
"贴花父级收藏集（选择）","Decal Parent Collections (Selection)"
"贴花父级收藏集","Decal Parent Collections"
"贴花类型集合","Decal Type Collections"
".简单",".Simple"
".子集",".Subset"
".信息",".Info"
".面板",".Panel"
"装饰","Decals"
"简单","Simple"
"子集","Subset"
"面板","Panel"
"信息","Info"
"工作区","Workspaces"
"   ","   "
"builtin.annotate_line","builtin.annotate_line"
"曲面绘制","Surface Draw"
"buildin.select_box","builtin.select_box"
"machin3.tool_hyper_cursor","machin3.tool_hyper_cursor"
"SCREEN_MT_user_menu","SCREEN_MT_user_menu"
"工具栏","Tool Bar"
"框","Box"
"添加","Add"
"剪切","Cut"
"圆形","Circle"
"添加剪切圆","NGon"
"图层：","Layer:"
"无注释源","No annotation source"
"(Q) 菜单","(Q) Menu"
"HOPS_MT_MainMenu","HOPS_MT_MainMenu"
"MACHIN3: 对齐（编辑网格）","MACHIN3: Align (Edit Mesh)"
"本地空间对齐/nALT: 世界空间对齐/nCTRL： 光标空间对齐","Local Space Align\nALT: World Space Align\nCTRL: Cursor Space Align"
"类型","Type"
"对齐到最小值或最大值、平均值、零或光标","Align to Min or Max, Average, Zero or Cursor"
"按 X、Y 或 Z 轴对齐","Align on the X, Y or Z Axis"
"对齐方向","Direction"
"在本地、世界或光标空间对齐","Align in Local, World or Cursor Space"
"独立对齐每个岛","Align Each Island independently"
"每个","Each"
"MACHIN3：居中（编辑网格）","MACHIN3: Center (Edit Mesh)"
"Local Space Center（本地空间中心）\nALT: World Space Center（世界空间中心）\nCTRL： 光标空间中心","Local Space Center\nALT: World Space Center\nCTRL: Cursor Space Center"
"MACHIN3：将对象对齐到边缘","MACHIN3: Align Object to Edge"
"在活动对象中将一个或多个对象对齐到边缘 （nALT: 通过邻近点将对象对齐到边缘）/nCTRL： 通过中点将对象对齐到边缘","Align one or more objects to edge in active object\nALT: Snap objects to edge by proximity\nCTRL: Snap objects to edge by midpoint"
"MACHIN3: 将对象垂直对齐","MACHIN3: Align Object to Vert"
"将一个或多个对象对齐到活动对象的顶点","Align one or more objects to vertice in active object"
"MACHIN3：拉直","MACHIN3: Straighten"
"拉直顶点或边缘","Straighten verts or edges"
"MACHIN3：调用 MACHIN3 工具派","MACHIN3: Call MACHIN3tools Pie"
"MACHIN3：创建集合","MACHIN3: Create Collection"
"创建收藏集 ","Collection "
"MACHIN3：从收藏中移除","MACHIN3: Remove from Collection"
"从集合中删除选区","Remove Selection from a Collection"
"MACHIN3：清除收藏集","MACHIN3: Purge Collections"
"删除空收藏集","Remove empty Collections"
"机械3：（去）选择收藏集","MACHIN3: (De)Select Collection"
"MACHIN3：为材质着色","MACHIN3: Colorize Materials"
"从材质中的最后一个节点设置材质视口颜色","Set Material Viewport Colors from last Node in Material"
"变亮","Lighten"
"MACHIN3： 根据材料为对象着色","MACHIN3: Colorize Objects from Materials"
"根据活动材质设置选定对象的对象视口颜色","Set Object Viewport Colors of selected Objects from their active Materials"
"MACHIN3：从活动物体着色","MACHIN3: Colorize Objects from Active"
"从活动对象设置对象视口颜色","Set Object Viewport Colors from Active Object"
"MACHIN3：从集合为对象着色","MACHIN3: Colorize Objects from Collections"
"根据集合设置所选对象的对象视口颜色","Set Object Viewport Colors of selected Objects based on Collections"
"多个集合","Multiple Collections"
"DECALmachine 集合","DECALmachine Collections"
"多集合对象","Multi-Collection Objects"
"贴花集合","Decal Collections"
"MACHIN3：从组中为对象着色","MACHIN3: Colorize Objects from Groups"
"随机颜色","Random Color"
"仅活动组","Active Group Only"
"MACHIN3： 光标至原点","MACHIN3: Cursor to Origin"
"将光标重置为世界原点 （nALT: 仅重置光标位置 （nCTRL： 只重置光标旋转","Reset Cursor to World Origin\nALT: Only reset Cursor Location\nCTRL: Only reset Cursor Rotation"
"MACHIN3： 光标至选定","MACHIN3: Cursor to Selected"
"MACHIN3: 已选至光标","MACHIN3: Selected To Cursor"
"将选定对象转换为光标 （nALT: 仅设置位置 （nCTRL： 只设置旋转","Transform Selected Objects to Cursor\nALT: Only set Location\nCTRL: Only set Rotation"
"MACHIN3: 绘制标签","MACHIN3: Draw Label"
"绘制 HUD 的文本","Text to draw the HUD"
"文本大小","Text Size"
"屏幕坐标","Screen Coordinates"
"向上或向下移动","Move Up or Down"
"MACHIN3：获取 MACHIN3tools 支持","MACHIN3: Get MACHIN3tools Support"
"为支持请求生成日志文件和说明。","Generate Log Files and Instructions for a Support Request."
"MACHIN3：重置 MACHIN3tools 键映射","MACHIN3: Reset MACHIN3tools Keymaps"
"这将撤销您所做的所有 MACHIN3tools 键映射更改","This will undo all MACHIN3tools Keymap changes you have done"
"MACHIN3：恢复丢失的 MACHIN3tools 密码映射","MACHIN3: Restore missing MACHIN3tools Keymaps"
"这将恢复所有已删除的 MACHIN3tools 关键映射","This will restore all MACHIN3tools Keymappings, that have been removed"
"MACHIN3：重新加载库","MACHIN3: Reload Libraries"
"网格模式","Mesh Mode"
"MACHIN3：图像模式","MACHIN3: Image Mode"
"MACHIN3：UV 模式","MACHIN3: UV Mode"
"MACHIN3：打开混合库","MACHIN3: Open Library Blend"
"打开新的 Blender 实例，加载源于所选对象或集合实例的库。","Open new Blender instance, loading the library sourced in the selected object or collection instance."
"MACHIN3：原点至活动","MACHIN3: Origin to Active"
"MACHIN3：原点至光标","MACHIN3: Origin to Cursor"
"MACHIN3：原点至底部边界","MACHIN3: Origin to Bottom Bounds"
"评估对象边界","Evaluated Object Bounds"
"切换网格","Toggle Grid"
"切换网格，区分常规视图和正交侧视图中的网格","Toggle Grid, distinguish between the grid in regular views and orthographic side views"
"切换线框","Toggle Wireframe"
"当前文件未保存。无论如何都要启动一个新文件？","Current file is unsaved. Start a new file anyway?"
"启动新的 .blend 文件","Start new .blend file"
"MACHIN3：另存为","MACHIN3: Save As"
"将当前文件保存到所需位置 （nALT: Save as Copy\nCTRL： 另存为资产","Save the current file in the desired location\nALT: Save as Copy\nCTRL: Save as Asset"
"另存为副本","Save as Copy"
"另存为资产","Save as Asset"
"保存版本化的启动文件","Save Versioned Startup File"
"加载最近使用的文件","Load Most Recent"
"加载最近使用的 .blend 文件","Load most recently used .blend file"
"MACHIN3：加载上一个文件","MACHIN3: Load previous file"
"MACHIN3：加载下一个文件","MACHIN3: Load next file"
"打开","Open"
"打开系统","Open System"
"加载用户界面","Load UI"
"机械3： 清除孤儿","MACHIN3: Purge Orphans"
"递归清除","Recursive Purge"
"没有要清除的内容。","Nothing to purge."
"清除 .blend 文件！","Clean out .blend file!"
"删除自定义笔刷","Remove Custom Brushes"
"已选择对象","Has Selected Objects"
"这将删除当前 .blend 文件中的所有内容","This will remove everything in the current .blend file"
"MACHIN3：重新加载链接的线框","MACHIN3: Reload Linked Liraries"
"机械3：屏幕投影","MACHIN3: Screen Cast"
"投屏操作符","Screen Cast Operators"
"着色","Shade"
"在对象和编辑模式中设置平滑阴影（nnALT：如果面角度 > 自动平滑角度，则标记边缘为锐利边缘","Set smooth shading in object and edit mode\nALT: Mark edges sharp if face angle > auto smooth angle"
"阴影模式","Shade Mode"
"包含子对象","Include Children"
"包括布尔对象","Include Boolean Objects"
"设置锐化","Set Sharps"
"添加锐化","Additive Sharpen"
"避免删除现有锐化","Avoid removing existing sharps"
"避免锐化超光标","Avoid Sharpening HyperCursor"
"避免锐化超光标使用的边缘","Avoid Sharpening Edges used by HyperCursor"
"布尔自动平滑","Boolean Auto Smooth"
"对于使用布尔修饰符的对象，确保启用自动平滑功能","Ensure Auto Smooth is enabled, for objects using Boolean Modifiers"
"强制设置自动平滑角度，即使自动平滑已经启用","Force Setting Auto Smooth Angle, even if Auto Smooth is enabled already"
"清除锐边、BWeights、褶皱和接缝","Clear Sharps, BWeights, Creases and Seams"
"清除 B 重量","Clear BWeights"
"清除折痕","Clear Creases"
"清除接缝","Clear Seams"
"避免清除 SubD 折痕","Avoid clearing SubD Creases"
"避免在折痕模式下清除带有 SubD 模式的对象上的折痕","Avoid Clearing Creases on Objects with SubD mods in crease mode"
"避免使用超光标","Avoid HyperCursor"
"清除","Clear"
"利器","Sharps"
"B 重量","BWeights"
"避免清除子 D 折痕","Avoid Clearing SubD Creases"
"切换自动平滑","Toggle Auto Smooth"
"MACHIN3：切换阴影","MACHIN3: Switch Shading"
"阴影类型","Shading Type"
"切换轮廓","Toggle Outline"
"切换对象轮廓","Toggle Object Outlines"
"切换空腔","Toggle Cavity"
"切换空腔（屏幕空间环境遮蔽）","Toggle Cavity (Screen Space Ambient Occlusion)"
"切换曲率","Toggle Curvature"
"切换曲率（边缘突出显示）","Toggle Curvature (Edge Highlighting)"
"在两个 Matcaps 之间快速切换","Quickly Switch between two Matcaps"
"MACHIN3：旋转 Studiolight","MACHIN3: Rotate Studiolight"
"MACHIN3：调整斜角半径","MACHIN3: Adjust Bevel Radius"
"调整全局斜角半径","Adjust Global Bevel Radius"
"减小半径","Decrease Radius"
"MACHIN3：应用 Eevee Raytrace 预设值","MACHIN3: Apply Eevee Raytrace Preset"
"预设名称","Preset Name"
"RENDER_PT_eevee_next_raytracing_presets","RENDER_PT_eevee_next_raytracing_presets"
"MACHIN3：设置捕捉预置","MACHIN3: Set Snapping Preset"
"设置捕捉预设","Set Snapping Preset"
"捕捉元素","Snap Element"
"捕捉目标","Snap Target"
"MACHIN3：按名称设置工具","MACHIN3: Set Tool by Name"
"按名称设置工具","Set Tool by Name"
"工具名称/ID","Tool name/ID"
"MACHIN3： 设置 BoxCutter 预设值","MACHIN3: Set BoxCutter Preset"
"在各种模式下快速启用/切换 BC 工具","Quickly enable/switch BC tool in/to various modes"
