"删除 Bagapie 数组修饰符"," Remove Bagapie Array modifiers "
"树着色器：","Tree Shader :"
"禁用 Alpha","Disable Alpha"
"树桩着色器：","Stump Shader :"
"噪声纹理","Noise Texture"
"噪音","Noise"
"强度 XYZ","Intensity XYZ"
"噪声位置 XYZ","Noise Position XYZ"
"复制：Alt + J","Duplicate : Alt + J"
"复制链接：Alt + N","Duplicate Linked : Alt + N"
"实例","Instance"
"不支持该对象","This object is not supported"
"仅限网格或曲线","Mesh or Curve Only"
"未选定对象","No Object Selected"
"缺少下划线","Underscore missing"
"尝试：B_","Try: B_"
"尝试：R_B_","Try: R_B_"
"尝试：RB_","Try: RB_"
"尝试：R_","Try: R_"
"另存为 GeoPack 修改器","Save as GeoPack Modifier"
"删除 ivy 的这一部分","Delete this part of ivy"
"按 J！","Press J !"
"Youtube 教程","Youtube Tutorial"
"BagaPie 文档","BagaPie Documentation"
"升级 BagaPie","Upgrade BagaPie"
"在视口中隐藏修改器","Hide modifier in viewport"
"隐藏视口","Hide Viewport"
"在渲染中隐藏修改器","Hide modifier in render"
"隐藏渲染","Hide Render"
"应用所有相关修饰符","Apply all related modifier"
"应用修饰符","apply.modifier"
"在制品","WIP"
"开关玻璃","switch.glass"
"格","G"
"导入或链接","Import or link"
"米","M"
"世界或光标","World or Cursor"
"开关GN输入","Switch GN input"
"开关按钮","switch.button"
"开关节点布尔输入","Switch Node Bool input"
"开关.boolnode","switch.boolnode"
"显示工具提示","Display a tooltips"
"显示切换","Display a toggle"
"切换","Toggle"
"编辑最后一个实例化对象的绘画","Edit the painting of the last instantiated object"
"切换对象模式","Switch Object Mode"
"内置选择框","builtin.select_box"
"启用/禁用固化修改器","Enable/Disable Solidify Modifier"
"反转画笔影响","Invert paint brush influence"
"反转权重绘制","Invert Weight Paint"
"反转油漆","Invert paint"
"反转权重值","Invert Weight Value"
"提起所有的画","Lift all the painting"
"清洁重量涂料","Clean Weight Paint"
"在资产浏览器中添加 BagaPie 的参数预设库","Add BagaPie's parametric presets library in the asset browser"
"安装 BagaPie","Install BagaPie"
"安装 BagaPie 资产作为资产库","Install BagaPie Assets as Asset Library"
"将资产添加到当前散点图层","Add asset to the current scatter layer"
"添加资产","Add Asset"
"将资产移除至当前散点层","Remove asset to the current scatter layer"
"移除资产","Remove Asset"
"重命名当前修改器层","Rename the current modifier layer"
"新名称","New name "
"切换选定的输入，仅适用于布尔值","Switch the selected input, only for Bool"
"开关布尔自定义","Switch Bool Custom"
"从活动散点图层中选择资产","Select assets from the active scatter layer"
"选择资产图层","Select assets layer"
" 删除 Bagapie 墙砖修改器"," Remove Bagapie Wall Brick modifiers "
"通过边缘或曲线创建墙砖","Create Wall Brick from edges or curve"
"移除 Bagapie 墙","Remove Bagapie Wall"
"放置穆尔相对于儿子斧头。","Placement du mur vis à vis de son axe."
"巴嘎螺丝","BagaScrew"
" 删除 Bagapie 窗口修改器"," Remove Bagapie Window modifiers "
"移除 Bagapie 窗口","Remove Bagapie Window"
"创建窗口。首先绘制其尺寸，然后为其指定与墙相对应的深度。与墙工具配合使用的工具","Create windows. First draw its dimensions then give it a depth that corresponds to that of the wall. Tool made to work with the Wall tool"
"窗户的位置。","Position de la fenêtre."
"线径","Wire Size"
"菜单大小。","Taille de menuiseries."
"Baga_Window","Baga_Window"
"Baga_Window_Bool","Baga_Window_Bool"
"BagaWindow_Weld","BagaWindow_Weld"
"BagaWindow_Displace","BagaWindow_Displace"
"BagaWindow_Wire","BagaWindow_Wire"
"BagaWindow_Bevel","BagaWindow_Bevel"
"BagaWindowBool​​_Displace","BagaWindowBool_Displace"
"BagaWindow_Boolean","BagaWindow_Boolean"
"BagaPie_Glass","BagaPie_Glass"
"BagaPie_Window","BagaPie_Window"
"散射偏好","Scattering Preferences"
"安全功能","Security Features"
"使用默认代理","Use Default Proxy"
"应用比例默认值","Apply Scale Default"
"最大多边形数","Maximum Polycount"
"最小多边形数","Minimum Polycount"
"显示百分比","Display percentage"
"取代","displace"
"实例置换","instancesdisplace"
"变形","deform"
"线","line"
"网格","grid"
"圆圈","circle"
"曲线","curve"
"代理人","proxy"
"另存为资产","saveasasset"
"节省材料","savematerial"
"团体","group"
"分散","scatter"
"散点画","scatterpaint"
"点捕捉实例","pointsnapinstance"
"常春藤","ivy"
"联盟","union"
"不同之处","difference"
"点效应器","pointeffector"
"凸轮剔除","camculling"
"墙","wall"
"墙砖","wallbrick"
"窗户","window"
"管道","pipes"
"束线","beamwire"
"光束","beam"
"线性楼梯","linearstair"
"楼梯螺旋","stairspiral"
"地面","floor"
"扶手","handrail"
"柱子","column"
"电缆","cable"
"瓷砖","tiles"
"栅栏","fence"
"壁板","siding"
"曲线自动排列","autoarrayoncurve"
"支持偏好","Support Preferences"
"输入值","InputValue"
"禁用 GeoPack","Disable GeoPack"
"GeoPack 偏好设置","GeoPack Preferences"
"创建新包","Create New Pack"
"细绳","String"
"GeoPack 饼状菜单图标比例","GeoPack Pie Menu Icon Scale"
"尖端 ！","TIPS !"
"我想使用包","I want to use packs"
"地质包列表","Geopacks List"
"描述 ：","Description : "
"作者：","Authors : "
"版本 ：","Version : "
"执照 ：","License : "
"最小Blender版本：","Minimal Blender Version : "
"创作者链接","Creator link"
"网址：","URL : "
"未找到修饰符","No modifier found"
"您可以通过饼形菜单 ( J ) > 创建修改器","You can create modifier via the pie menu ( J ) > "
"添加图标","Add Icon"
"修改器链接","Modifier link"
"此修饰符如何工作：","How this modifier will work :"
"  并切换到“重量绘制”。","  and switch to Weight Paint."
"- 选定的对象将链接到新的 coll。","- Selected objects will be linked to new coll."
"将混合文件添加到 Pack","Add blend file to Pack"
"     -","     - "
"图书馆位置：","Library Location : "
"修改器","Modifier"
"地质包","GeoPack"
"首先，设置存储包的文件夹。","First, set the folder where the packs will be stored."
"完成此步骤后，您可以随时移动包裹及其存储位置","You can always move the packs and their storage locations after this step"
"设置包裹位置","Set packs location"
"安装包","Install Pack"
"贮存","Storage"
"保存偏好设置","Save preferences"
"包名称","Pack Name"
"包作者","Pack Author(s)"
"包版本","Pack Version"
"打包网址","Pack URL"
"兼容最旧版本的 Blender","Oldest Blender Version Compatible"
"包许可证","Pack License"
"包装位置","Pack Location"
"创造 ！","Create !"
"当前位置：","Current Location :"
"将所有包移至新位置","Move all packs to new location"
"它是如何工作的？","How it works ?"
"我想创建包","I want to create packs"
"1 - 设置图书馆的位置（下面的按钮）","1 - Set the location of your Library (button below)"
"2 – 安装包（.geopack 文件）","2 - Install pack(s) (.geopack files)"
"3 - 进入 3D 视图 > 按 V > 选择一个包 > 选择一个修改器","3 - Go to 3D View > Press V > Select a Pack > Select a modifier"
"使用包的方式可能根据修饰符而有所不同。","The way to use a pack may vary depending on the modifier."
"安装包后，您可以在其属性中找到有关如何使用它的信息和描述","After installing a pack, you can find information on how to use it and descriptions in its properties"
"GeoPack 演示","GeoPack Demo"
"2 – 创建新包（在此区域）","2 - Create a new pack (in this area)"
"3 – 转到 3D 视图 > 选择您的对象和您想要保存在修改器堆栈中的 GN 修改器。","3 - Go to 3D View > Select your object and the GN mofifier you want to save in the modifier stack."
"4 - 按 J > 新建 GeoPack 修改器","4 - Press J > New GeoPack Modifier"
"5 - 出现一个框，选择包","5 - A box apear, select the pack"
"6 – 现在您的修改器在 GeoPack 饼形菜单中可见 (V)","6 - Now your modifier is visible in the GeoPack pie menu (V)"
"7 - 在此面板中，您将能够导出 geopack 以进行共享","7 - In this panel, you will be able to export your geopack to share it"
"创作者演示","Creator Demo"
"偏好设置","Preferences"
"快捷方式：","Shortcut :"
"饼状菜单","Pie Menu"
"已链接重复组","Duplicate Group Linked"
"安装 BagaPie 资产包（.baga 文件）","Install BagaPie Asset Pack (.baga files)"
"BagaPie Assets 插件已安装。","The BagaPie Assets addon is installed."
"在此版本中，不再需要 BagaPie Assets 插件。","In this version BagaPie Assets addon is not needed anymore."
"您可以卸载它并只安装包：BagaPie_Assets_Vol_X.baga。","You can uninstall it and just install the packs : BagaPie_Assets_Vol_X.baga."
"已安装的包：（绿色 = 已安装）","Packs installed: (Green = Installed)"
" PS：Essential pack是Lite的一部分，Lite是Full的一部分。"," PS : Essential pack is part of Lite, and Lite is part of Full."
"未找到任何文件","No files found"
"如果你","If you"
"更新你的图书馆","update your library"
"设置库位置","Set library location"
"资产当前位置：","Assets Current Location :"
"设置图书馆位置/将图书馆移动到新位置","Set library location / Move Library to new location"
"包安装可能需要几秒钟，请耐心等待。","Pack installation can take several seconds, please be patient."
"必须逐个安装它们。","They have to be installed one by one."
"BagaPie V5.0 和之前版本的 Scatter","Scatter from BagaPie V5.0 and previous versions aren"
"默认启用代理。","Enable proxy by default."
"代理的最小多边形数量。","Minimum polycount for proxy."
"使用安全特征进行散射：","Use security features for scattering :"
"触发安全功能的最大多边形数量。","Maximum polycount to trigger security features."
"（平均多边形计数实例总数 * 实例数）","(Total of average polycount instances * instances count)"
"视口中显示的实例百分比","Percentage of instances displayed in the viewport"
"建议如果目标不是 1,1,1，则应用目标的比例。","Proposes to apply the scale of the target if it is not at 1,1,1."
"如果可用，请使用相机剔除。","Use Camera Culling if available."
"关于BagaPie V10","About BagaPie V10"
"Bagapie 在饼形菜单（快捷键 J）中包含基于几何节点的工具。","Bagapie contains geometry nodes-based tools in a pie menu (shortcut J)."
"根据工具选择一个或多个对象。请参阅","Choose one or multiple objects based on the tool. See "
"介绍 GeoPack：创建和共享基于自定义几何节点的修改器。","Introducing GeoPack: create and share custom geometry node-based modifiers."
"什么","What"
"     - GeoPack 是一个全新的系统，允许您创建和共享修改器！","     - GeoPack a brand new system that allow you to create and share modifier !"
"     - 用户的 GeoPack ：","     - GeoPack for users :"
"          > 安装并使用修改器包，就像它们是插件一样！","          > Install and use modifier packs as if they were an addon!"
"     - 面向创作者和团队的 GeoPack：","     - GeoPack for creators and team :"
"          > 将修饰符分组，","          > Group your modifiers in a pack,"
"          > 定义修饰符的工作原理以及如何正确使用它们，","          > Define how your modifiers work and how to use them properly,"
"          > 生成用户友好的 UI，","          > Generate a user-friendly UI,"
"          > 使用你的包存储资产库；资产浏览器将自动设置，","          > Store an asset library with your pack; the asset browser will be automatically set up,"
"          > 将您的包导出并共享为 GeoPack 文件，任何人都可以安装该文件来享受您的修改器。","          > Export and share your pack as a GeoPack file that anyone can install to enjoy your modifiers."
"     - 目前无","     - None (at the moment)"
"饼状菜单自定义","Pie Menu Customization"
"启用/禁用工具：","Enable/Disable tools :"
"应该选择什么：","What should be selected :"
"选定对象的类型:","Type of the selected object :"
"变形：","Deformation :"
"大批 ：","Array :"
"管理 ：","Manage :"
"散射：","Scattering :"
"效应器：","Effector :"
"建筑学 ：","Architecture :"
"曲线：","Curves :"
"节点到面板","Nodes to Panel"
"BagaPie 可以将您的几何节点修改器和着色器节点组转换为用户友好的 UI。","BagaPie can turn your geometry nodes modifier and shader nodegroup into a user-freindly UI."
"节点到面板快速演示","Node To Panel Quick Demo"
"通过在输入名称中添加前缀，Bagapie 将能够解释它们并","By adding prefixes to your input names, Bagapie will be able to interpret them and"
"在插件面板中生成一个界面（3D视图）。","generate an interface in the addon panel (3D view)."
"只需添加","Simply add "
"前缀列表：","Prefix list :"
"BP_ = 您必须将此前缀添加到您的节点树名称中","BP_  =    You must add this previx to your nodetree name"
"B_ = 创建新框","B_   =    Create a new box"
"B = 在上一个框中添加","B    =    Add in the previous box"
"R_ = 创建新行","R_   =    Create a new row"
"R = 添加上一行","R    =    Add in the previous row"
"2_ = 缩放按钮/输入","2_   =    Scale button/input"
"L = 显示为标签","L    =    Displayed as Label"
"V = 显示为值（任何类型）","V    =    Displayed as Value (any types)"
"P = 显示为按钮（必须是布尔值）","P    =    Displayed as a Button (must be a bool)"
"P2 = 显示为带有标识符 2 的按钮（必须介于 0 - 9 之间）。可以控制其他值的显示。","P2   =    Displayed as a Button with identifier 2 (must be between 0 - 9). Can control other values display."
"S = 显示为分隔符","S    =    Displayed as Separator"
"_ = 前缀结束，然后添加值/标签/按钮的名称","_    =    End of prefix, then add the name of your Value/Label/Button"
"URL = 外部链接（用于教程、文档等）。必须是字符串输入。在输入默认值中添加 URL。","URL  =    External link (for Tutorials, Documentation, ...). Must be a String input. Add URL in input default value."
"例如：","Exemples :"
"输入姓名：","Input Name :"
"它在面板上的样子：","How it looks in the panel :"
"带标签的新盒子","New Box with label"
"B_L_我的标签名称","B_L_MyLabelName"
"我的标签名称","MyLabelName"
"开关按钮","Switch Button"
"P_我的按钮名称","P_MyButtonName"
"我的按钮名称","MyButtonName"
"显示行上的值","Display values on a row"
"R_V_MyValueName 一个","R_V_MyValueName A"
"RV_我的值名称 B","RV_MyValueName B"
"我的值名称 A","MyValueName A"
"我的值名称 B","MyValueName B"
"按钮控制值显示","Button control values display"
"P1_打我！","P1_Hit me !"
"1V_我的值名称_A","1V_MyValueName_A"
"1V_我的值名称_B","1V_MyValueName_B"
"打我 ！","Hit me !"
"我们的附加组件！","Our Addons !"
"BagaIvy 发电机","BagaIvy Generator"
"BagaRain 发电机","BagaRain Generator"
"巴嘎街","BagaStreet"
"巴嘎批","BagaBatch"
"还有更多！","And more !"
"其他的 ：","Others :"
"共生体发生器","Symbiote Generator"
"搅拌机和打印海绵宝宝","Blender and Print SpongeBob"
"Ivy 生成器 [旧]","Ivy Generator [old]"
"拱形发电机","Arch Generator"
"BagaPassesSaver","BagaPassesSaver"
"渲染设备切换器","Render Device Switcher"
"乐高发电机","Lego Generator"
"幻想之门发生器","Fantasy Gate Generator"
"帮助 - 支持 - 问题 - 文档","Help - Support - Issues - Documentation"
"帮助 - 支持 - Discord 上的错误报告","Help - Support - Bug Report on Discord"
"YouTube 教程","Youtube Tutorials"
"常见问题！","Common Issues !"
" 1| 当我应用修改器时，一切都消失了。"," 1| When I apply my modifier, everything disappears."
"         您必须通过插件应用 BagaPie 修改器","         You must apply the BagaPie modifiers via the addon"
"         在 BagaPie 面板顶部按下应用按钮：✓","         On top of the BagaPie panel press the apply Button : ✓"
"         请记住，修饰语是有顺序的，请先应用修饰语之前的修饰语。","         Keep in mind that modifiers have an order, apply the ones before your modifier first."
"2| 我的散射/常春藤不是","2| My Scattering/Ivy isn"
"         散射/常春藤基于物体的表面（面积）来计算实例的位置。","         The scattering/ivy is based on the surface (area) of the object to calculate the position of the instances."
"         当你的对象被激活时，其表面（区域）可能会被修改/扭曲。","         As your object is animated, the surface (area) may be modified/distorted."
"         BagaPie 目前还没有针对此问题的解决方案。","         There are currently no solutions for this issue in BagaPie."
"3|我的散射/常春藤在渲染时有所不同。","3| My Scattering/Ivy is different when rendered."
"         检查您的表面在渲染时是否没有改变（例如：修改细分）。","         Check that your surface does not change at the time of rendering (Ex: Modify Subdivision)."
"         或者","         OR"
"         视口中显示的粒子数量和渲染中的粒子数量可能不同。","         It is possible that the number of particles displayed in the viewport and in the rendering is different."
"         检查 % Displayed 参数。","         Check the % Displayed parameter."
"4| 饼形菜单缺少一些工具。","4| The Pie Menu is missing some tools."
"         检查您是否处于对象模式。","         Check that you are in object mode."
"         检查 BagaPie 的版本是否与您的 Blender 版本兼容。","         Check that the version of BagaPie is compatible with your Blender version."
"仍有问题吗？","Still get an issue ?"
"通过 Discord 联系我们","Contact us on Discord"
" 保存 Blender 偏好设置"," Save Blender Preferences "
"保存 Blender 偏好设置","Save Blender Preferences"
"3D 视图","3D View"
"BAGAPIE_MT_pie_菜单","BAGAPIE_MT_pie_menu"
"BAGAPIE_MT_pie_menu_geopack","BAGAPIE_MT_pie_menu_geopack"
"我的列表","My List"
"指数","Index"
